src,tgt
كاين شي ماتش نمشيو نشوفو,there is a match lets go watch
راه خسّرت,you're lost
راك سريع بزّاف,You're very fast
أش بغيتي ف عيد ميلادك,what do you want for birthday
إيلا لقيتي كامل,if you find it entirely
هادا علاش خرجت,this why I got out
راه كايبقى غير غير غير غير كايبقى,he is reckless
لوراق بيض,the paper is white
كون شجاع,be courageous
بنتي كبرات و هي راها العروسة,my daughter grow up and she became a bride
كايحما,it's getting hot
سير ل شارع لي تلاقيه,go to the strore you might find it
ماعنديش شك على الاطلاق,H've no doubt at all
أنا فسبيتار,i'm at the hospital
جيب ليك,bring to you
هادشي ديربي لي خاصنا نلقو,this is the derby we need to score
نتحداك ت مفاجئني,I dare you to surprise me
واش نتا واجد؟,Are you ready?
مابغيتيش تجد داكشي لي خسّيتي,You don't want to find what you lost
راه قريب,he is a relative
قالو ليا راه مسافر,they told me he traveled
منين كانقدر نخرج ليا فلوس؟,from where do I get money?
كانتسنّا فيك ت ت عبر داك لسرقة,I'm waiting for you to cross this thief
راه سخون,it's hot
رجع ليا فلوسي,bring me back my money
عندي جوج توحيتين,I have two twin siblings
ب خريطة كان غادي نجدو سريعا سبيل أسرع ل ليكتر مطعم فالمناطق,With the map we would have quickly found the quickest way to the best restaurant in the area.
واش سخون؟,Is it hot?
فرشّش شعرك,brush your hair
راه ناسّا متكبرين,we are an arrogant people
ماعجبنيش الخلي,i dont like khli3
كانتسنّا فيك ت درّب شي برنامج زوين,I'm waiting for you to make a good program
كنت كانقلب عليك,i looked you 
أنا مزيان شكران على طلب,I'm good thanks for asking
تعطلي بزّاف باش تحسّن ل لعلعلاب,you are too late to get the flames
إيلا، كاتشوف، الله خايبعدك,"So, you see, God has pqid you."
راه حلت مشاكل ديالي,i have solved my problems
أنا كانعلم الجيابانية,I am learning japanese
بول كيقرا العمارة,Paul's studying architecture
سافر مع واليديا,i traveled with my parents
سير مسي دكشي,go wipe your tears
أشنو بنتي,what bim
ماشي فكرة مزيانة,it is not a good idea
واش تاكليتي؟,Have you eaten yet?
ولا الخيار ديال طبيب,Or his doctor's choice
سلاسل طويلة,long chain
كنت غير غير غير متأكد,i was unasure
سمح لينا إيلا درنا ليك شي حاجة,forgave us if we did something to you
بغيتي تطلب شي ماكلة؟,Would you like to order any food?
جمعة,friday
رسمي البيض,paint in white
غادي نجي من هنا من 5 دقايق,we will come in 5 mintues
أنا غادي نبقى هنا شي سيمانة,i will stay one week
أنا غادي نرويه ليك,i will show it to you
أنا غادي نحرّك لكلبك,i will move your dog
اشنو كنتي كليت لعشا؟,what did you eat for dinner?
واش نتا غبي؟,Are you stupid?
خلي لخدمة ديالك,mind your job
مات بزّاف ديال ناسّ,too many people died
كيداير توري البارح؟,How was the tour yesterday?
غادي تشوف وجه الآخر,you will see the other face
شاري ليا بزّاف ديال الكادو,he bought me too many gifts
صباح، ف ربع و ثمانية,"morning, at a quarter past 8"
خاصني شي حل مؤقت,i need a temporary solution
عمرك ت خسر ليك تڭاع,you should never get your tension lower
كانمشي طيارة بزاف ديال المرات.,I take the plane too often.
ماعندي والو تڭول ليا نتا لي درتي كلشي,i got nothing to say you prepared everything
كاينين الفرص ف أمريكا,there are opportunities in america
غادي يكون فيه شي حاجة مزيانة,there will be good
صداع,noise
الزراعة مفيدة,agriculture is beneficial
خاصك تاكل مزيان,you must eat well
شديتي فلوسي,you took my money
عمرك جربتي تسلق شجرة,Have you tried climb the tree 
كايهدر بالانجليزية فالخدمة,He speaks English at work
عمرك جربتي تبرزّ ليك شفرات,Have you tried make your eyebrows
راني خرجت القمامة,i took out the trash
بغيت فلوسي ف الطابلة,i want my money on the table
الله يوفك ليك الفرح,may god bring you happiness
كيف راك اليوم,how are you today
عمرك ت تشاور مع زوجتك,you should never consult your wife
باش نسا,to forget
كانتسنّا فيك ت جمع فلوسّ باش نسافرو,I'm waiting for you to gather money to travel
عيط على البوليس,call the police
علاش مابغيتيش تدرب الفرق,Why don't you want to coach teams
كيفاش غادي نخرجو,how will we descend
عمرك جربتي تبكي على شي بوليس,Have you tried to yell at a cop
راه زوينة,she is pretty
ماشي غير جوج,we not only two
كانتسنّا فيك ت لغو هاد لعطلة,I'm waiting for you to cancel this vacation
كايناقضو مع الطيبان,it contradict  good manner
ماعجبنيش خدمة ديالهم,i don't  like their service
كنتمنى يكون عندك مستقبل مزيان,I hope you have a good future
نتحداك ت قولي ليا ليك لخبار,I dare you to say the news
ماعندهش فلوسّا دابا,He has no money for the moment
خاصني نلقا كلشي,i need to find everything
غير قولها,just say it
و أنا لي تقدّم,And I was the one who presented
عمرك ت دير ليك هاد المشكلة,you should never clarify more this problem
مابقيتش باغي نعاود قولي,i will not repeat my words
كولشي كان مساهمين لهاد الكادو,everyone assisted for this gift
ماكايحضرش بزاف,he don't speak a lot
"سمح ليا, ماعنديش قلم","Sorry, I don't have a pencil"
غادي نشري سرير جديد,i will buy a new bed
مازال ف البلاد,he's still in the country
أنا ف ستيشن,i'm at the station
راه خارج من سيطرة,he is out of control
خاصك تسول علينا أولا,you need to ask us first
علاش مابغيتيش تلب شي ديكور,why you dont wanna get a decor
و قلتو يسكي,and told him to stay quiet
نڭلس لور,sit backward
نزل من شجرة,get down from the tree
نصين و خمسة و نص,thirty five past
نتا كاتدي هاد لصف,you take that class
الله إديها لراسيديا,god help our president
كان كيسحاب ليا غادي يخرج من اللعب,i thought that he will tiere from playing
"كريستين, واش عندك شي كيكا مسبقا لصاحبتي?","Christine, do you have any cake in advance for my friend?"
ماما بغيت نڭول شي حاجة,mom i wanan say something
و أما دوا التل,as for third meds
كيفاش كتلقى توازن بين الخدمة والحياة الشخصية؟,how do you find balance between work and personal life?
هربو عقلو,he lost his mind
ديرها بساطة,take it slow
المكتبة كانت هادية حيت وصلنا ليه,the library was quiet until we got here
لي جرب يقدر يشكرني,whomever try it can thank me 
زيت ديال الطباخ,cooking oil
تانفكّر واش غدّني,i think if he cheated from me
كانتسنّا فيك ت عاود ليا لحقوق لي عندي,I'm waiting for you to take back my rights
تعطلي بزّاف باش تزيد,you are too late to to increase
سير من هنا,go away
هادشي كايستغرق بزاف ديال الوقت,this take a lot of time
هاد الخدمة ماشي مناسبة ليه,This work is not suiteble for him
ماتبداش تفرج,don't make a scene
علاش مابغيتيش تنزل,Why dont you want to go down
بلا ما تزيد على التمن,Don't increase the price
شكران على دعوة,Thank you for inviting us
غادي تعاني ف المدينة,you will suffer in the city
كون غير قدرت ن تصوّر شي فوتو,if only i took nice photos 
عمرك حاسّت بلي كانحتاج ليك,i have never felt need
تعطلي بزّاف باش تجمع لفلوس,you are too late to find fund raising
علاش مابغيتيش تخبّ من شي لص,why you dont wanna hide from thief
فين ساندال ديالي,where is my sandal
لا، أش كاين البطولة؟,"no, what are beets?"
آه، ديرها بزربة، عندي الاجتماع من هنا 15 دقيقة.,"Yeah, make it quick, I have a meeting in 15 minutes."
هادي المرة لولي طيارة.,This is my first time flying.
كنت كانقلب على شي خدمة,ive been searching for a job
اليوم بارد بزّاف,it's very cold today
واش خايفني نخلّيك؟,are you afraid i will embarrass you ?
هربو ليا شفر,eyebrows fell
علاش مابغيتيش ت ركز على لامتحان,Why dont you want to focus on the exam
ديما كانت تقبله,she always kissed him
راني خليت القرعة فالجرد,i put the bottle in fridge
خليني نتفقد شي شي واحد كايكري,Let me look for rent
ماعندنا مايمكنش نكون فرحانين,we cant be happy
خايف نركب ل طوبيس,i'm scared to go on the bus
باش توصل,to drive 
مرحبا بيكوم,welcome back
ولكن إمكان يكون داكشي ل إشباح هنا,But maybe it's the lighting in here.
واش عندك موظفين ديال العلوم,do you have teaching staff
إيلا ماكنتيش مخافيش فبيروتي,If you're not worried in my office
أي حاجة ممكن تقتع!,Anything could happen!
بارود، جيب ليا الحالة.,"Baroud, Bring me the situation."
ماتشريش دار من كريدي,dont buy house on loan
شري سرير,he bought sleep sirop
راه محتمل غادي يخرج من دار,he is probably about to be laid off by head office!
واش كاتلقى الشبكة ب تيليفونو ديالك؟,Are you picking up the network with your phone?
هتا إمتا غادي تخفي هادشي عيني؟,Until when are you going to keep this from me?
مابغيتيش تحضر المواد,You don't want to get the materials
مابقيتش باغي نسد الباب راه خطر من الخارج,i will not close the door its dangerous outside
أنا غادي نخرّس هاد الولد,i will fool thsi boy
سير شري تيكيت,go buy a ticket
كايبان ليا ماشي من هنا,it seems he is not from here
كولا إمكان لينا نستفيدو شوية,we both could use a little break
واخا حزن,even if he is sad
بغيت نسخو شي سيكارو,i want to smoke a cigarette
راه واحد الغريب,he is weird 
و أنا غير سدّيت ليدّي على ل لبورصة ف الفن,And I just glued my hand to the desk in Art.
ماتنساش,don't forget about it
صبر نشوفو فالكافي,wait lets go watch in cafe
كايقلبو عليهوم,they look for them
إمكان لينا نتقداو شوية ديال شراب معا؟,Perhaps we could get a drink together?
أنا غادي نرد على موت ديال راجلي,i will avenge my wife death
تخيالك كبير بزاف,your imagination is too big
كايبان ليا غادي نمشي!,I think I'm going to leave!
خاصك إيلا هادشي,you need to when this
داكشي علاش كايكون كريحة من الخارج، ولكن هادشي رطيف من داخل,"So it's crunchy from the outside, but soft on the inside. "
كيفاش نقدر نعيط ليك,how i can call you
على كل حال,anyway
كانسمعو بزّاف ديال هادشي دابا,we're hearing a lot about it right now
طبيب قالك نتا مزيان,the doctor said you are fine
تشتاقت على صحابي,i miss my friends
راه ماكايديروش بزاف,they dont act well
مابقيتش باغي نستعمل هاد المعلومات,i will not take these infos
ناس لي كتهربو معهم كايعكسو عليك,the people you hangout with are your reflection
مانضنش غادي ت دخل ليك ضمير,I dont think you will become conscient
واش نتا?,Aren't you?
ولدي ماعندنيش,my son didn't visit me
تلاقينا,we met
سير قبل دكتور,go before the doc 
كانضن راهوم ف المطبخ,i think they're in the kitchen
حاول تعلم,try to learn
"آه, أنا سول واش نقدرو نطير ل قوس قريب","Yeah, I'm asking if we can shoot the archery nearby"
راه صراحة هادشي ماكانجرحش,this doesnt hurt honestly
راه مابقاش مريحة هاد الكرسي,this chair isnt comfortable
كيفاش كايديرو ليك,how are things going
مابقيتش باغي نشري هاد التميشا,i will not buy that shirt
هي راه ختي راه راه لي كايديها,she is my step sis
بغيت نقول ليك شي حاجة,i wanna say something
داكشي علاش درجات كبار...,That's why the score is high...
تعطلي بزّاف باش تمشي ف الباص,you are too late to go in the bus
كان كيسحاب ليا غادي نوقف من هادشي,i thought that i will stop taking drugs
خليني نتحاور معاك,Let me chat with you
نتا منافق,you are a hypocrite
هادشي كايبان فكرة مزيانة,that sounds like a fantastic idea
شنو بغيتي دير؟,What do you want to do?
أش درت توفيق,what did taoufik did
العيشة هنا رخيصة,living cost here is cheao
الموعد دقيق هوا، ماشي هوا، ولكن نفس,"The exact term Atmosphera, not Air, but it's the same"
نهار الاربع,wednesday
شحال كاتحمل ف نهار,how much you make a day
راه شفت ليا لمكينة,he stole my wallet
شفت يعني شفتي الميساج,seen means you saw the message
أنا غادي نرسم عليك صورة,i will draw a portrait of you
باش تكون حامل و تفرج,to be pregnant and to give brith
عندي صداع ف الحنجرة,I have a sore throat
ماعمرني كنت كليت هاد البارحة,I've never eaten hamburger
بلا ما تعطيه للوڭ,without giving him the colors
سلوك ديالك مقتحش,Your behaviors are provocative. 
خليني نخنق,Let me choke
هير خوتك,take care of your brothers
عطيني العنوان,give me the adress
هاد العشية، معاش عندك موعد؟,"This afternoon, who do you have an appointment with?"
عمرك ت دخل من الخارج,you should never impotate from abroad
قلت ليك ماشي صغير,i said you are not notmal
راه حاسد,he is envious
أشنو خاصني ندير دابا,what I am supposed to do now
كون غير قدرت ن تخلي هاد البلاد,if only I could leave this country
كاندن فهمتيني غلط,i think you misunderstood me
كاتدير لي بغات,she does what she wants
سولتي بڭال,you asked resonably
كندا كاينة ف أمريكا الشمالية,Canada is located in north America
أنا ف الجنة.,I'm in heaven.
كاينين ناس كايقرا ليك فڭالك,there are people who read your mind
عيطنا عليها,we called her
العملية ديال القلب صعيبة,heart surgery is dificult
راه صعيب نخلع,breaking through was a challenge
لي عندك هو ديالي,whats yours is mine
حلق وجهه بالموس,He shaved his face with the razor. 
ولد ماشي سهل,giving birth isnt easy
خلينا نهارنا نخرج,let this day end well
غادي ناخدها,I'll take it
واش نتا غبي؟,Are you stupid?
راه أقل من 5 درهم,it's less than 5 dhs
كيداك ديالك?,How was yours?
الله إعافيك,god help you
خرست الكاميرا ديالي لي كايسجل فيوتيوب,i broke my camera which i record with youtube videos
"آه, الممرضات كايديرو لينا مساج ديما","Yes, the nurses gives us massages all the time"
عائلة ديالو كاتجيبو فاش عرفتو,his family is preparing when they knew
أش كاتقولي,what are you saying
إيلا كانو تفرج فشي حاجة وريني,if you picture something show me
ماعنديش فين نعس,i don't have where to sleep
سكتة كسرات,the circuit is broken
شكرا طبيب,thanks doctor
واش غاتسدّل بشرتك,clean will your skin
إيلا عندك شي معلومات عفاك,if you have an info tell me please
يالاه نمشيو غدا,Let's go tomorrow
ديال شكون كتاب هادشي؟,Whose book is this?
كان كيسحاب ليا غادي يسلم بسهولة,i thought he will surrender easily
كايعيط على الصلاة,its call for pray
أنا شخص متفرج,I'm an extrovert person
آه، هادشي خايب بزاف,"Yeah, that's too bad"
يالاه نمشيو نشربو أتاي!,Let's go to tea!
غانديروها.,We're gonna make it.
رجع ليا فلوسي,gimme back my money
أنا فحصت عيني,i examined my eyes
دور عليه,get away from him
أنا غادي نلقّد عليك شي حاجة,i will throw something at you
إوا تبدل ناسك,donc change your peopple
عطيني ساك ديالي,Give me my bag
أنا مهم,im important
ڭاعر ليك هادي,I swear it's true
إيلا جيتي ديكشي دابا,if you came for it now
واش تقدر ت لعب مع هاد الفرقة,can you play against this team
طونوبيل ديالي كسرق,my car is broken
بصّح؟,Really?
هادشي مزيان,this is perfect
هاهيا البصل ديالك,Here are your onions
ڭلت ليا ماجيبات والو,told me she brought nothing
واخا كانضن بلي المبادئ ديالك خايبة,Well I think your principles are flawed
أنا كانقلب مزيان,i dribble well
أنا ڭلس فتل فيلد,i sit in tfield
عجبني,i like him
باكا كان كايحدق فيا,my father stared at me
راه خدام مزيان,he works well
ماعرفت والو على الطائرات، ولكن كانهرب كل مرة كانطير,"I don't know anything about airplanes, but I'm terrified every time I fly"
أنا دحمتها,i destroyed her
كون غير قدرت ن عيش فيلا,if only I could live in a villa
واش كنتي ف جيبك ديال جاكيت ديالك؟,did you check your jacket pocket?
كايعجبني الناس لي كايديرو الخير,i like people who do charity
ماتخافيش,don't worry
عمرك ت دير شي لحمّان,you should never make banane huice
عندها سقف,she has a roof
طونوبيل متيقين,reliable car
طبعا!,Of course!
ماكنتش راه هكا لي درتك,i didn't educate you like this
الواليدة ديالو كانت سجنة,His mother was jailed.
سفت ليا الصور,send photos
هادي مذهلة!,It's amazing!
أجي و تقف حداي,Come and stand by me
أجي تعاوني,come help me
كايبغّر على المرأة,he opress women
نتا أحسن هكا,you are better this way
واش اليوم عيد,is today eid
عندي شي لحيوانات,i have some sheeps
ماشي كولشي كايفهم,not everyone understand
غادي يكون مزيان بزاف,It is going to be a lot of fun
تقدّم ليا شي فاتورة,pass a facture
أنا غير بغيت نرتاح,i want just to relax
أنا فالعطلة,I'am in holiday
"سيمانة لي فات, قال كتب ليك لسهل","last week, said wrote a letter tohis friend"
ماتخاف من والو,dont be afraid of nothing
نشوفك,See you
سكتة مابغيتش نسمعك,shut up I don't want to hear you
مانضنش غادي تسرب لامتحان,I dont think the exam will be leaked
أش قال طبيب,what the doctor say 
واش راك راستيها ولا لا,did you rest or not 
كايبقى بوحدو فدار,he stay alone in home
واش غدرتي,did you have lunch
ماتبقاش عندهم,dont stay over  at them
كانو شوية,There were a few
كليت كولا ديال البرد,He ate a whole pot of jam
راه ماعافاش تا بحال,he didnt heal yet
عاوتاني أشنو وقع,she told me what happened
مابغيتش نراك ف بزنيتي مرة خرى.,I never want to see you in my business again.
كان كيسحاب ليا غادي يكون هادشي عيب,i thought that make an excuse
البينغون غايموتو,pinguins wil lgo extinct
ماعمر ماكانش مرتاح,he was never comfy
بلا ماتبكي,Don't cry
نتا ماشي متيقق,you are not reliable
قوليه لا,tell him no 
خليني نختار لفتيات,Let me choose sheets
علاش مابغيتيش تمشي ليك ديك ليكسّان,Why don't you want to grab the falling bag
رجعت,i came back
كون غير قدرت نبني واحد المدرسة,if only i built a school
نشوفو واش عندك بزاف فامتحان الجاي,We'll see if you have so much on the next exam!
جربي تجي,try to come
كايعيشو ف خيمة.,They are living in a tent.
شكران على ليك فكر فيا و لكن ماقدرتش,thanks for thinking of me but i can't
سير كتب درسك,go write your lessons
إمكن إمكان ليا نقدم ليك شي حاجة باش تسهل ليك الألم؟,Maybe it's possible to offer something to ease your pain?
أنا كاندير شوية ديال اللوح,I also do some painting
شافيت,i healed
سمح ليا.,Sorry.
تانفكّر واش تعترف,Do you think of confess
أنا غادي نديرو عند طبيب,i will take him to a doc
عندو درجات زوينة,he has good gradings
مانضنش غادي نستمر فالعطلة,I dont think i will  get longer vacation
رجع مرة أخرى,he came back again
كيما كان خاص ليك,as it should have been done
عندي بزّاف ديال الفلوس,I have a lot off money
فين تقابلتي معاه,where did you met him
مابقيتش باغي نطلع,i will not dance i'm tired
مشا ل معصام,he went to mawsam
شري ليهم واحد البرتاف,buy them a platform
غادي يڭولو مع الصودا قريبا.,They'll be stopping by with the soda soon.
راه مسخة,she is smiley
خاصني نستعد ل هاد نهار,i need to prepare for this day
أش نقول ليه,what to tell him
خليني نتحرك,Let me act
كانبقى غير غير غير أنا,i tend to keep to myself
كيفاش نسفتوه,we how to sent it
حاول تسيطر على راسك,try to control yourself
ومن بعد عندنا معضلة.,Then we have a dilemma.
علاش كدبتي,why did you lied
كايشرب الماء,He is drinking water
كان كيسحاب ليا غادي يجي بزربة,i thought that he will come quickly
كانت باختها غير كايجل,She was sitting with her aunt. 
أنا غادي نصلّي ليك,i will pray for you
اشنو درتي لعشا,what did you prepare for diner
أش قلتي,what did you say
راه سلفي هاد السلعة,he has charged the goods
فين بغيتي تشرب شي كاس ديال شامبانيا؟,Where would you like a glass of champagne?
بابا سكت,mu father silenced
مشيت على موتور,i went on motobike
شي مرات هي راضية فشي حاجة هي مبركة,sometime she is happy something she is upset
بغاو يتزوج,he want to marry
و لكن أنا خدام بوحدي مهندس فشي موقع كبير,But I'm working as an engineer on a big site
سدمت عيني و ناعس,closed my eyes and slept
أوه، آه، شفت على النضج,"Oh, yeah, I saw about the glasses"
أنا بخير,I'm fine
نتا لي كايبقى كايدير,you act shy
كانديروها,we do it
مالك,whats the matter with you
مابقيتش باغي نستمتع,i will not have fun
ريكس صافي عفاك,rexplain please
مافهمتش ليك,I didn't get your words
كانتسنّا فيك ت سلم علينا,I'm waiting for you to salute us
أنا كترت,i became old
عارفة شحال باقي باش دير,you know how much is left to do
باش نبقى فالموقع,to stay put
واش ممكن تعاود قول هادشي؟,Could you say that again?
أنا غادي نجي قبلك,i will be ahead of you
إمكان تسدّك,you may fall asleep
أنا غير كنت غديت,I have have just eaten lunch
سيمانة وحدة و أنا كانبكي,one week i'm crying
خاصك تفهم,you need to understand
كون غير قدرتي تجي قبل,if only you came before
كايجيبو لينا ميكروبوس لي غادي يديرنا لمكان واحد مايعجبني,They arrange a mini-bus which takes us somewhere interesting.
تانفكّر واش غاتعاود شي مطر غدا.,I'm thinking if it will rain tomorrow.
فين دوزتيها؟,Where did you put it?
ماكانحسش بالأسف على أنيا، غادي يخلّيها بزّاف ديال الفلوس كانخيال,"I don't feel that sorry for Anya, he will leave her lots of money I imagine"
عطيني كارتك,give me your card
و نتا ماشي,and you are not
كانت كاتغوت بزاف,she was yelling too much
هو يذكرنا بكوننا صغيرين ف هاد الكون كبير,it's a reminder of how small we are in this vast universe
خاصة,special
واش هادا هوما سبات؟,Were those sports shoes?
راه طويل ماشنا شفتوك,we haven't seen you for a long time
هادشي ممتاز بزاف,That's very interesting
صباح الخير,good morning
واش عيط ليا با,did you phone my father
نتحداك ت هدّر فهاديك لحوت,I dare you to aim at that bird
شريت ب فلوس,i bought it with money
خلي جيرك,leave the neighbor alone
من جهدك؟,on your side?
مابغيتيش تلاقاو معاه,You don't want to meet him
دعي ليك شي نتا,pray for luck
واش هادا لكلب ديالك؟,Is that your dog?
بغيتي تمشي ل طريق,you want to go to the road
راه كايعاني من سمك,she suffer from fat
أش درتي,what have you done
كايقدر يلعب البيانو,He can play the piano
أنا ماشي في العجلة,i'm not in a rush
أنا غادي ندخلك عندنا,i will enter you to us
كيفاش كيعجبك تقضي العشية ديالك؟,how do you like to spend your evenings?
ديما كاتڭولها بحال هاكاك,you are always saying like this
أش كاتقصد,what do you mean
عطيني الحريرة,give me Harira
راه عارمة,she is stubborn
تات ليا هاد التمن مرتفع شوية,the price tag seemed a bit high
هاد لعبة تعليمي و ثقافية,This is an educational cultural game.
مابقيتش باغي نڭولك,i will not scam you
"سمحلي, ماعندناش","Sorry, we don't have any"
أنا كانحترم بزاف لمشهد ديال سارت,I greatly respect the view of Sartre
ماغاديش نعتقلك,i won't consider you
كون غير قدرت ن تحطّو,if only I could drop him
أنا غادي نبدل اسمك,i will change your name
باش تكون رياضي خاصك تدرب سنين بزاف,to becoma an athlete you need many years of practice
مانضنش غادي يردّد هاد لموضوع,I dont think he will think again on this matter
صافي دارك,clean your house
دير ليا فلوسّ ديال السفر,prepare money for travel
شريت حوايج باردة,i bought cold clothes
غادي نتلاقاو معا ناس جداد غادي.,We'll meet new people there.
مانضنش هاداك الحروف,I dont think that sheep
مانضنش غادي نربحو على هاد الفرقة,I dont think we will win against that team
عمرك جربتي تقطع راسك,Have you tried cut yourself
خلي ليا المشهورة هكاك,leave her celeb like this
مابقيتش باغي نڭلسك,i wont leave you
أنا ماشي شاب بحال ماكنت,I am not as young as I used to be
هو لي كايزيد العائلة,he provide his family
هادشي صحيح,this is true
و شحال ديال الوقت,whats time now
ماتتعطّلش,don't be late
تقاوب عليه,fend of against him
إمكن غادي يكتب كلشي باسمها,maybe he will write everything in her name
ماماها مابغاتيش تحمل.,Her mother didn't want to get pregnant.
كافي كافي,Enough is enough
واش طبيتي الماكلة,have you cooked diner
الغوز أحسن حاجة,goose is the best thing
عيني دراتني,my eyes hurt me
زين الغلط لي درتي هو ماكتدفعش على حقوقك,Zin the mistake you made is that you didn't defend your rights. 
كايبغيني,he beg to me
و غسيل,and laundry
ماكاناكل والو لحم ولا دجاج,i dont eat no meat no chicken
سير فكّر,go think
كيفاش كاتسوي,how's you rtime
كانتيق ب واحد دري و لكن راه خايبني,i trust a boy but he scammed me
أنا غادي نستيق,i will be diligent
شفتك كاتقلب على المشاكل,i see you are looking for trouble
ولدي كايحترم,my kid is respectgful
إيلا تلقات شي حاجة عيط ليا,if something show up call me
أنا غادي نبدّل حياتي,i will change my life
شوية ناس كايقلبو على الحلال,few people look for Halal
كان كيسحاب ليا غادي يزبر عليا,i thought that he will be arrogant with me
الواليد ديالك عيط ليك,your father called you
"بغيت الماء سخون, عفاك","I want hot water, please"
واش غادي يخلصو؟,are they even going to finish ?
تانفكّر واش غاتمطّش غدا.,I'm thinking if it will rain tomorrow.
مالك خايفية بنتي,why are you afraid daughter
ماتزيدش شي حاجة غير معقولة,dont add illogical stuff
ناسّ كايعجبو,people are harsh
غانمشيو الغابة,we will go to forest
البحر ماشي مستقر,the sea is not stable
كانت كاتستمتع مع واليدها,she enjoyed the company of her parents
عمرك ت عجل,you should never be in a rush
أنا مستعد,I'm ready
راجل غايلعبو البومب,Men will play the tambourine.
بغيت نستعس,i wanna sleep
هو خليه ختي ديالو دير لي بغا,he is letting her sister do what she wants
راه قوي باش يقدر يسبق,He should be strong to know how to overtake
مابقيتش باغي نحسّن,i will not improve
كون معايا مزيان,be good with me
جفت شعري,i dried my hair
بلا ماتحلقو,Don't shave him
شنو أحسن رياضة لي كاتعزز؟,what's your favorite sport?
مانضنش غادي ناكل رفيسا,I dont think i will eat rfissa
قلبي كانبوز,my heart pounding
امتا غادي يجي هاد التران ف المدينة؟,when will this train arrive in the city?
ولدت 5 الدراري و 2 البنات,She gave birth to 5boys and 2 girls.
يالاه راحة!,What a relief!
راني كنت عفيتش,i couldnt sleep
سير دير شي ماكياج,go do some makeup
خاصني تجيبيني,i will need you to bring me
ماتفكرش بزاف,dont think too much
كون غير قدرت ن لمسّ داك لور,if only I could touch the fire
راه على راسي تكون واعرة,my wife should be careful
كانتسنّا فيك ت عيان,I'm waiting for you to get tired
تا واحد ماكينش كاتقرا كتاب,no one reads book anymore
ماكنتيش تعرفي شكون؟,you couldn't know who ?
وقف هادشي كافي ليك,stop that's enough for you
شحال كبيرة دار ليك!,what a big house you have!
شكون؟,who ?
ماكانعرفكش,i dont knwo you
عمرك تلاقي معا ناس خايبين,you should never meet bad people
كون غير قدرت نستيقظ,if only i was calm
خرج من هنا,get out of here
راه راني كنت عدو,i went bald
نتا بحالّي,you are like me
كاين بزاف ديال العنصرية تما,there is too much racism there
واش بغيتي تفرق شي بيت؟,do you wish to have a twin room?
معتمد على الاختيار,depends on the choice
"أنا جوع، تاهوا, نقدرو نمشيو ل ريسطورة إيلا بغيتي.","I'm hungry, too, we can go to the restaurant if you want."
الناس خاصهم تعلمو كيفاش يجمعو القمامة بحدهم,people need to learn to collect garbage by themselves
عمرك ت تڭلس مع هاد الناس,you should never be at peace with these people
حسيت زلزال,i felt the earthquake
هادشي مهيان!,This is exciting!
ماعمرني ماشفت شي حاجة,i have never saw something 
كانتسنّا فيك ت تقرّف على هاد العملية,i'm waiting for you to report the surgery
هو يختبها,he sewed it
هكا كانحسّ على الخدمة هنا,this is how I feel about working here
ماعنديش,i dont like
شفت شي شرجم و شفت,i saw a window and looked
و دجاج,and chickens
خدي الفلوس من ختك,take money from your sister
خاصني نستيق بكري,i should wake up early
بلا ماتخرج,Don't  go out
راه دارو شي جسر,they made a bridge
بزّاف,many
كانفضل ناكل آيس كريم,i prefer eating ice cream
كيفاش قتلتيه,how did you kill him
و ماماك كاتبان بحال هاكا؟,And your mother looks like that?
الحياة مستمرة,life is steady
أش كادير,what do you do
خايفهم,he did leave them
ماكاتسمعنيش,He doesn't listen to me
كانتسنّا فيك ت جرّب هاد ريسطورة,I'm waiting for you to try this restaurant
واخا.,All right.
مابقيتش باغي نطلع ليك فلوس,i will not lend money
أولى دريا عندها قيمة,first women has value 
كايظنّ الباكي كايظنّ لكل واحد عندو سنان كزيّين كايحسّن ليهوم ولا حتى بلاسنان,I thik the cook thinks everybody has dodgy false teeth or even no teeth at all
هادي مدة هادي ماشفتكش, i haven't seen you for a long time
بلا ماترقص,Don't dance
أنا غادي نزل,im going down
ديفن ليا على لبرّا,made aboard
لبس ماسك,wear the mask
هادا كتابها,That's her book
واش غادي تعود من العطلة؟,Are you coming back from vacation?
كانتسنّا فيك ت استسلم,I'm waiting for you to give up
مشيت نري,i went on a run
راه مابقاش شي حاجة في حياتي,something is missing in my life
نتا جاي مزيان,You're coming along well
عندنا واحد المعادن خايبة,we have a bad metality
كاينين ديما شوية ديال لحوايج ف أسفل ديال الباج,There are always some crumbs at the bottom of the bag
ربع,quarter past
ديما تعقب الحوايج أختي,"Always catch the clothes, sister. "
هادشي كامل وقع,all of this happened
ماغاتمانش ليك تخلصني، واش هادا؟,"You wouldn't mind paying for me, would you?"
أما الخارجي غايكون مزيان، عندي شي مظلة إلا بدا شي هوا,"As for the outside will be fine, I have an umbrella in case it starts to rain."
عمرك جربتي شي خادم باش يعاونك,Have you tried a house maid to help you
آخر مرة جاو زيارة جيب ليا شي شكلات زوينة,The last he came to visit he brought me some delicious chocolates
أنا غادي نمشي ل حمام سخون,i will go to hot bath
راه حايبة عليه,she feel sorry for him
أنا كانسما و نتا خلي مايكرو,i call and you leave the micro
كايجرحني البطون,my stomach hurts
