darija_ar,translated_eng
كيفاش كاتبقا مركز?,How do you stay focused?
كايبان ليا هادشي ماهووّاش,I think it's not true
واش تاقدار تڭولييا كيفاش نقادها?,Can you tell me how to do it?
ماغاديش ندير شي حاجا بحال هادشي,I'm not going to do anything like that
هادشي كايبان مازيان.,That sounds very interesting.
مبروك عليك التاخارّوج,congratulations on your arrival
"دابا تقدر تحات شوييا ديال واقي شامش, عافاك","Now you can take a little shampoo, please"
حاضّ مووافاق فليجتيماع,There are plans to get together
نقادرو نتلفو ولا نعسفو علا شي عقبا أُ نتأداو,we can make mistakes or punish people and punish them
"أه, مابقيناش دجاجات من بعد","Yeah, we don't have chickens after that"
"ف جاميع لحالات, هادشي كافيني.","In all cases, that's enough."
مبروك خبار زوينا هادي,"congratulations, this is a good news"
أشناهوما لأخاني لي كايعجبك تسمع ليهوم فسفر ?,what is it about my brother you like to hear in the bathroom?
إمكن كايتساما تاڭين والاكين مامتأكادش,"Maybe it's a good thing, but I'm not sure"
فشكل,in a way
كيفاش نبدا?,How do I begin?
أيخاسنا نديرو تست.,We should do a test.
سياد لاح سنارتو فلما,Mr. later we saw the movie
كاتهدر ل أنڭلايس مزيان.,I speak good English.
يدييا قهرهوم روماتيزم مانقدرش باقي نلعب ل موسّيقا والاكين حفيدي كايجي عندي مرّا مرّا أُ كايلعب ليا لموسّيقا,"I have a lot of romantic feelings about playing music, but my grandfather comes to me sometimes and plays music"
شحال داراجات لحارارا?,how many emergency rooms?
تقدر تشوف واش إلا شريت هاد لرپودويت بجملا كايكون شي سولد ولا لا ?,can you see if I bought this pudding in the fridge it's a cold one or not?
كانّاخود غير ضانون فلعشا,I take a non-disable meal
عندي رتيفاع ف الضاغط الداماوي,I have a high blood pressure
هاك!,There it is!
لا شوكران,Thank you
هادي لقاإما تڭاع داكشي ليغادي نحتاجو هاد ليلا,that's the kind of food I'm going to need tonight
شي مارارت مرات بزاف فسيمانا,I've been there many times a week
كيفاش كاتوجدو راسّكوم ماعناوييان فلپليلانتييات ?,How do you get your money back on the ballot papers?
فين جات بلاكا ت طوبيس?,Where do you get the bus stop?
خلينا نبلنيو شي سفر لشي بلاسّا ماءمرنا ماشفناها,Let's start a trip to the beach we've been looking for
"كانخدم ب إسم موستاعار, حيت كاين بزّاف ديال بنادم فشكل هنا","I work for a client, as there are many people in trouble here"
واخّا نكون مريض,I should be sick
عهلتي ملي كنا كانتحداو بعديياتنا علا شكون خايحبسّ نفسّ كتر,My family when we were talking about our problems about who is the most important person
خاسنا نخورجو من هنا!,We have to get out of here!
واش بغيتي شي ساندويش?,Would you like a sandwich?
غادي نرجاع,I'll be back
لبڭرا كاتعطينا ل حليب,The butter is giving us milk
"ڭولّيا, واش نتا قادّ تدير خدمتك بكولّ تيقا?","Tell me, can you do your job every step?"
"ماعادا إمكن البات جدّي, والاكين كان كايشرب بزّاف","Besides my grandfather, he probably drank too much"
علاه ماعندكش لحاياوانات ل أليفا ف الدار?,Don't you have any pets at home?
كانتمنّا مايضربناش لبرد.,I hope we don't get cold.
لقمر موصيبا,the lucky moon
هادشي مبرّع.,That's cool.
كيفمابحالماهوكدايا,how do you feel about it?
ماعندو قيما,it's not worth it
عومومان,we're together
دابا نڭولّيه راه دووّرتي,Now let's say it's your turn
خاسّني ندير خدمتي,I have to do my job
كانبغي التا ندور أُنسماع لطيور,I want to go and listen to the birds
غانخدمو مجموعين,We'll serve together
ماباقيش بغيت نرجاع لخداما مرا خرا!,I don't want to go back to work again!
كول ساعتاين,every two hours
هاد لأغنييا حازينا,This song is very interesting
تقدر تشرح لييّا?,Can you explain it to me?
"فراسي مشا لحال شويا علا التنضيم, والاكين... راه عيد ميلادي!","My bed is a bit too much for the gym, but... it's my birthday!"
واش هادش سحيح ?,Is that true?
كاندير التامارين ديالي,I'm making my own matches
أنا موجود لخوتوا جايا,I'm ready for the next meeting
نتلاقاو خادّا,meet some people
أنا فاقاط بغيت نضرب شي عوما سخونا أُ شي بيرّا,I'm just trying to get some hot water or some beer
هادي ل عشرا الپيل,It's the tenth pill
خاساك تدير بزاف ديال لكرام فيه,You need to do a lot of work
كولّا نهار,every day
إمكن,Maybe
كادّووز نهار كامل فدار ڭالسّ تاتشمش ف جاردا.,I spent the whole day at the gym in the garden.
توم موشاجيع ديال باسبالّ,Tom is a baseball fan
أه مشيت,I'm gone
واش تقدر دير ليا كيكا ديال فروتا وتزاوقها بتلج,can you make me a fruit cake and make it ice cream?
شتا كاتخبت فشراجم,What's your favorite dish?
أنا عيّان,I'm a lawyer
علا غفلا,in the dark
أوّل مرّا نشوفك,first time I see you
خلّا الطوموبيل ف لڭاراج,Leave the car in the garage
غادي نڭولها لشي وهد كبار منو فلڭراد,I'll tell her what's bigger than a frog
مامتبّعش معاك,I don't care
شنو ترا فلخدما فلخر?,What do you see in the workplace?
أُ غادي نتأكدو بيلا ماغاديش نموتو بجوع,And we're going to make sure we don't starve to death
إوا أُ إمّا?,Or both?
بغيت ناقرا كتار علا لكاوكاب أُ كيفاش نقادرو نبادلو سولوك ديالنا ل أفضال,I want to learn more about the cocktaps and how we can change our preferences
لفاميلا دوزتا لعوتلا فلوندون,The family made a trip to London
"مامتأكد أش كايعني داكشي, والاكين نتا بتاءكيد شي حاد تقدار تبقا علا إتيسال معاه","I'm not sure what that means, but I'm sure you'll have a sharp touch with him"
هادشي لي كايباليا,That's what I like
سير علا ليسار,go to the left
بشوييا عافاك,"slowly, please"
خلّيني نڭولّيك واحد لحاجا,Let me tell you something
تودّر لييّا لبزطام,I want to get to the bathroom
غاتلقاه تمّاك,I'll meet you there
تبلحيس,Saturday
يقدرو يتقسمو علا تلاتا لڭروپات,They can swear three times
12 ولا 13 ل ساعا?!,12 or 13 hours?!
ولا عل أقال خوطوا فل إتيجاه سحيح,Or at least step in the right direction
لبيرو ديالنا كاين فتاباق رباعميا أُخاسني نتلاع دروج كولّا نهار,My father is in the bathroom and I have to go swim every day.
كايبالّيا أناك تحطّ السبّاط فل فرّان كايبيّن علا ماشاعير قوييّا اللي مايمكنش تعبّر علا راسها بطاريقا خرا,I think you put the black on the fringe that shows a very strong hair that can't be put on top of it any other way
خرّج معاه الزبل,He took the plumbers with him
"موهيم, سالينا دابا.","Well, we're done now."
كايعتيك أفكار,He gives you ideas
واخا هوا ف نادي لڭولف ديالي!,Maybe it's my golf club!
مرّا فنّهار,once in a while
أش كادّير فلحايات?,What do you do for a living?
"والاكين غادي نواجاد إقتيراح ديالك, نالقا ساباب واجيه لمونضيم","But we'll get your suggestion, get the right answer for the host"
"أُه, أه, هادي فيكرا مازيانا.","Oh, yeah, that's a really good idea."
"أنا خايف من دام, غادي ناسخاف","I'm scared of blood, I'm going crazy"
صباح لخير,good morning
والاكين غادي ناخاد كوكا.,But I'll have a coke.
فين بغيتي تمشي?,Where do you want to go?
ياقدار يجي حتا ڭرارد,I can come to the garden
طهلّا,it's a lie
واش كاضّنّ هادشي غايوقع?,Do you think this is going to happen?
موجود,there is
عاندي,I have
ماعجبنيش هاد لفتور,I don't like this moment
غاير مسبوق,differently
واش متيقّن?,Are you sure?
سهكون عارف أش كاين?,Will they know how it is?
الطاليعا,the rest
خلّيت التقرير ديالي فوق لبورو,I left my report in the office
كانأمن ب اللاه,I believe in god
أُنتا أشمن قيسم فاش خدام?,what part of the workforce are you?
واش بغيتي نخاليك ديرها?,Do you want me to do it?
واش كادان بيلا عندي لحاق فهادشي?,Do you think I'm sick of this?
"عندي تلاتا ت الدراري, جوج بنات أُ ولد","I have three children, two daughters and a son"
هادشي كايبان مزيان.,That looks good.
عندك شي وهدا خرا?,Do you have anything else?
"برام حوت بياض سغير, كاتشباه لحوت لقاروس علا ماكانضن","The fish is a small white fish, similar to a catfish"
كايعجبني نتفرج فلس دوكومنتايرس,I love watching documentaries
فين غاتنعس?,Where are you going to sleep?
فين غادي نعس?,where will I go to sleep?
ماقصدش,I don't mean
واش سخونا?,Is it hot?
"سامحليا, سامحليا.","Sorry, sorry."
فوقاش عيد ميلادك?,When is your birthday?
أنا مشغول شوييّا دابا,I'm a little busy right now
عندهوم موتاتالّابات غيداإا خاسا,They have special needs
أشانهييا أول وخنييا جاتك فراسّك دابا ?,What's your first step?
خاصّاه مخدّا,He must be a cheater
ل موحيت الشامالي ل موتاجامّيد,the left side of the door is very flat
هلوو بزّاف,Is it too much?
كولكوم عندكوم لقودرا باش تنجحو,You have the courage to succeed
ديما كايبكي,he always cries
هادي شحال من سيمانا ماشفنا بعضيياتنا.,It's been a week since we've seen our results.
سمعني مزيان,you listened to me very well
أُ يمكان شوييا من لحليب جوز لهيند إلا كان عنداك شوييا,And maybe some coconut milk if you have a few
ماكانضنش أناني فهامت أشنو كاتقسد,I don't think I understand what you mean
داز لييّا الصالير,He's been on the floor
جبها,face
"أُه, لا, أنا بيخير, شوكران","Oh, no, I'm fine, thank you"
غانمشي ندير ماسّاڭ لرجلييا,I'm going to do a massage myself
مالقيتش بزتامي,I didn't find my clothes
"پيسسين, شامش أُ التا حاجة خرا.","It's a peas, a cheese and nothing."
لمودير ديالي ماكانش فرحان,My boss wasn't happy
لماكلا بنينا,the food is good
عندي كلب,I have a dog
غادي يخاساك ديما تكتاب راساإل أُ تاسني واتاإق...,You'll always miss writing and texting and writing...
واش هوما ف لباحريا تيجاريا أُلا هوما شي قاراصينا?,Is it in the sea or is it a big deal?
لكليان خلسّ شاسه باش مايديوش ليها لبانكا شي داراإب إلا ستاعمل كارتا,The client has to sit tight so they can not pay for the bank if they have to work the card
هاد اللحم صعيب ف لمضيغ,This meat is hard in the pan
واش غادي تكون حفلا فل بار هاد ليلا?,Will there be a party at the bar tonight?
"أهلان لهوسّين, كيداير ليوم?","Hello, how are you today?"
ماعنديش التلج,I don't have ice
ماتالان إلا كان عند شي حاد من لفرقا شي حاجا كايحتافال بيها,"But if she has a high-key team, she's going to have a party"
واش سخون?,Is it hot?
شنو سميت خوك?,What's your name?
قبل لوقت,before time
ماكانش عندي وقت باش نبدّل,I didn't have time to change
أشناهييا لبلاسّا لي ماكرهتيش تزورها ?,What is the best place to visit?
شفتك تمّاك,I saw you there
واش نتا مجووّج?,Are you excited?
شي وريقا ل قنيطرا لايخلّيك,a little bit of sugar can make you feel better
فينمّا كاين لحوب كاين ل إمان,where there is love there is faith
كاتبان خدار كتار من شاحيب.,You're looking for a friend.
ماكاينش لفارق,It doesn't matter
أشاوا كاترووّن,What are you doing?
أُه واش كاتخالس كولشي?,"Oh, do you forget everything?"
شي حوايج بيتهو يبقاو مسيانين,Some things in the house keep the matter interesting
واش سافارتي فسما من قبال,have you ever been in the past
هووّا ماكايبغينيش,He doesn't like me
صاراحاتان ماكاينش تاحد ليتعاوال عليه فهاد لعيمارا?,The two women aren't really looking for a date this weekend?
هادشي كايقتل بدّحك,this is killing me laughing
"أُلّا لمرّا الجايا غانكتب جوج صفحات, بحال عومار اللي جاب 15.","Or next time I'll write two pages, like the one on the 15th."
نتلاقاو ڭدّام لوطيل,We meet at the hotel
"كاندان كايبغيو لخوضرا, والاكين ماماتأكادش شنو أخور","I think they like the kitchen, but I don't know what else"
والاكين حتا تما كايبان ليا فايت شايفو,But even then it seems to me that he's seen it
بڭاع ألقيياسات,in the middle of the pack
علاش كاتسوّل?,Why are you asking?
لكتاب لي كانقراه نادي,the book I read is a club
بشحال كاتطلع فنّهار,how much do you expect to pay for the day?
ياقدار نجي نسامعك كاتلعاب,I'm coming to hear you play
كايتفرّج ف التلفازا النهار كامل,He watches TV all day
ضار لعسّا فرويدا,the fruit fly is harmful
بغيت والاكين ڭلبي كيڭول لا,I want to but I'm afraid I'm not saying yes
ماشي موناسيب,Not ideal
لمعريض لفنّي فيه مايتشاف.,The art museum is open.
غاليبان هادشي علاش كانشوف لحوايج بهودوء,Maybe that's why I see things calmly
أنا مامهتامش براإي ديالك,I'm not interested in your brother
تقريبان ريوايات لبوليسييا,the police are close to the police
راه كايوجّدو إجيو لعام الجاي,They're preparing a meeting for next year
عجباتني التقطيعا ديالك,I like your cut.
لوراق ديالك أُ ل أسإلا ديالك كايبيينو أنّاك دكي,Your paper and your questions indicate that you are drunk
أُ كايبالّيك نقدرو نتساطحو معا شي حاياوانات?,And do you think we can even play with animals?
واش لاحضتي شي حاجا?,Have you noticed anything?
واش عانداك صوت مجهّد?,Do you have a stressed voice?
"عرفتي ماعنديش معا كورا أُ پيزّا مجمّدا... حسن ليا ن كومّاندي لماكلا ديال لهنود,","I know I don't have a cold cake and a frozen pizza... I'm a chef for Indian food,"
فحالات وقف ل'اسسنسور بين لس إتاڭس,In cases of censorship stop between the elephants
يالاه ناكلو,let's eat
كانحماق علا دلاح,I'm sorry to hear
فين كايعطيك الصداع?,where does he make you feel sick?
هادشي فلفتور?,That's in the future?
أنا خدّام عند راسي,I'm a boss
سمحلييا شحال هادي مامشيت عندو.,Sorry how long I've been on it.
"مامتأكدش شناهوا لخاتاء, والاكين إلا كنتي كادن تقدر الديرو, بدا.","I'm not sure what's wrong, but if you're really appreciating the game, it's okay."
واش ماتاتفكّرش?,Are you thinking about it?
غادي نجبد لكارطا ديالي من دابا داقيقا,I'll get my cards right away
مادرتهاش بلعاني,mother is a mother
"ولا إلا بغيتي, تاقدار تاكّا لهيه","Or if you like, you can eat here"
كايعجبني نجمع لكوكييّاج,I like to collect cookies
فاش خدّام هووا?,what's the job?
أجي دغيا.,Come on.
هادشي كايبان عاضيم,This looks amazing
غادي نلعب ألكارتا.,I'm going to play a card.
واش إمكن تكون عندها شي قيوا سيحريا?,Could she have a free cock?
فهمت,I understand
"بغيت نمشي معاك, والاكين ماشي ليوم","I want to go with you, but not today"
أنا خابيي,I'm a coward
شنو أحسّن ديكرا عندك موأخاران ?,What's your favorite recipe?
"ماشي لييا لساحبي, شوكران","Not for my friend, thank you"
كانضان سماعت لجاراس ديال لعشا,I've been listening to the dinner party
"واخا, واخا.","Well, yes."
داز عاندي ليوم مازيان,I have a very good day
خصّنا نتهلّاو فيهوم,We need to take care of them
"عندنا غير لبيرا ديال هنا, أُ نابيد كايجي من بوردوش","We have another beer here, and the wine comes from Bordeaux"
هادي ساعا مبروكا ملّي تلاقيت معاك,It's been a blessing to meet you
"موهيم, فيعلان, هاد لبوتون لحمر لكبير كايبان زوين","Well, actually, this big red button looks good"
كاتسمي راسك بار والاكين مقادارش تسربيني,I call you a bar but you can't spit me out
ماكاين تا وصفا خاصّا خرا. غير لقهوا ب ستيل ديال نڭليز.,There is no other recipe. it's a coffee in English style.
واش نقدّم لماقال علا أنّاهو واقيعي أُلّا ناخود ويجهات ناضار سيياسيا?,Do we talk about the fact that it is real or do we take the political direction?
"عاضيم, لوعبا ديال بينڭو",A game of bingo
داكشي علاش كانخاف نبقا فدار أُ كانحاول مانديرش صداع,That's why I'm afraid to stay home and try not to hurt
كاين بزّاف مايدّار واخا هاكّاك,"There are many places, and there are"
واش كادان خاسني ندير داكشي?,Do I have to do this?
ولا نتا خايف علا جيران?,Or are you afraid of your neighbours?
ماعادا ألا عندك شي حاجة خرا بغيتي تزيدها,unless you have something else you want to add
مابغيتكش تاحشام من راسك دابا,I don't want you to get upset right now
مارتين هوا اللي لاقانا,Martin is the one we trust
راإس ديال ميريكان?,The president of the United States?
عافاك تسنّا علا برّا,Please wait outside
مامتءكّدش بيلا دوك لباط غادي يعجابهوم لخوبز لقديم ديالنا,I'm not sure if the douche would like our old bread
نوبتي,my shift
واش كاينين لفكارن?,Are there any carriages?
عندنا صوص بلا حليب?,we have a sauce without milk?
مالاحضت والو?,What did you do?
أنا محتاج هاد لخدما ت بارمان باش تعاونّي نخلّس لكرا,I need this work in order to help me save rent
عتاق!,I'm sorry!
لبسّ واحد لكوستوم لحفلا,I'll wear a party costume
شد الشال,what's wrong
عارف لموخانييين مشهورين بزّاف,I know very popular hackers
فشكيل,in particular
"غايخسّك تعلّم تصنّت ليا, أُلا غادي نضبّر علا واهد أخور.","You'll have to teach me to draw, or I'll have to change my mind."
ماعندهاش تيقا كافيا فل فرقا,He doesn't have enough food in the team
هاد الشورطات مزيرين علييا بزّاف,These shorts are very good for me
لونڭلي ديالي عييّانا,I'll tell you my name
كانّسا شي حوايج,I've lost some things
خاسّ نحسّن لحيا,I have to get better
هاد لقاميجا زوينا,this room is beautiful
هادا الجلد ديال التيمساح حقيقي,This is real pig skin
بزقول,in a nutshell
كانضنّ راه مزيانا بزّاف,I think it's very good
هووّا نفخ نفّاخا,he is a breathing pot
كيف كانت التجريبا?,How was the experiment?
أشناهييا أحسّن عادا كاديرها فعيد لميلاد ?,what's the best way to do it for Christmas?
غادي إكون داكشي ساخيف,It's going to be so exciting
هادشي ماشي عادي.,That's not normal.
طابعان,of course
إلا مابغيتيش,If you don't want
مومكين تانقاس من فلوس ليكاتشاد باش تعاون فلخلاص,You can't save money to pay for a free concert
نتا دابا كادهاك علييا,You're just so on me now
"أيه, شي كوييسّ ديال لقهوا غادي ينفعني مزيان.","Yes, a good cup of coffee would make me feel better."
طهلّا,please
هادي مافيها شك!,That's a good idea!
أه خاسنا نساربيو,"Yes, we have to fight"
أنا مطلّق,I'm divorced
ماكايعجبوش نيفو هيت مقوّص,They don't like the snow
ماكانتش لبارح?,Not yesterday?
نقدر نخروج ?,Can I go out?
كانحسّ أنّاهو نتا مامصووّقش ل دماغي.,I feel like you're out of my league.
والاكين عندهوم موستاوايات مختالفين ديال الصوعوبا,But they have different social attitudes
يالّاه نمشيو نضربو شي دويرا أُ نطلعو ف ديك لكوديا اللي تمّا.,Let's go and hit a bike and get on the train last night.
هووّا طالياني,He's Italian
نهاراش مشيتي لتاما,You've never gone there
شناهوا الطالاب لاخور?,What are the orders for breakfast?
خدّمات موحقّيق خاص,I worked for a private investigator
كانتمانا ماتكونش فزڭتي,I hope you're not in trouble
كان خساك تڭولها ليا قبال,I should have told you before
هادشي غادي يخلي بالك ملهي.,This will be a big deal.
"اللا, قصدت الليل بارد علا النهار.","No, I meant the night is cold in the day."
واش عامرا?,Is it full?
تطبلا مصاوبا من لخشب,the wood-burning frying pan
سالام واش هتي سوارتي ?,Hello is my office open?
طروفا سغار,small pieces
والاكين ناقدرو نلقاو شي حاجة فلغابا,But we could find something else
50 درهم ل الساعا,50 dirhams per hour
ناجما,I'm sorry
كاضّن غادي تعجبك?,I suppose you like it?
كول واحد كيفاش كايفكّر,Everyone thinks so
علاش خرج من لخدما?,Why did he quit work?
ماغاديش يجي معايا,He won't come with me
شنو أخراب حاجا ترات ليك ف حياتك ?,What's the worst thing you've ever done in your life?
أشناهوا أحسان فيلم عندك?,What's your favorite movie?
عندك لحقّ,You have a right
حتا واحد مابحالو ف لماط,no one is in the car
خسّني نمشي دابا,let me go
واش عنداك شي أفكار?,Do you have any ideas?
إقدر,I can
نتا كاتحفّزني,you're inspiring me
مشيت لبنكا,I went to the bank
أه نيت كنت باخي نشوفو,"yeah, I'd like to see it"
غانختموها لهيه,I'll seal it up for him
معقول,reasonable
"كانقاد واحد لجورعا سيحرييا, والاكين ماغاديش نڭوليك أش دير","I'd like to get a free shower, but I won't say anything worse"
غادي ناخد لا كارت بانكاير ديالك أُ نخلّص علينا بجوج أُ علا جارنا إلا ماعندكش موشكيل.,I'll take your credit card and save us two and our neighbor if you don't have a problem.
أش هاب لخاتر?,What's the risk?
أنمشيو نجيبو هاد لعسهوب أُ نحاولو نسايبو بيهوم دوا,Let's go get this mushroom and try to make it a medicine
دير اللصاق,turn the paper
غير دراري ديال أحياء لماختالفا,the difference between the two is different
حتا أنا!,I too!
ماكانضنش شعريا أُ لحوت كايجيو مزيان معا بعضيياتهوم,I don't think hair and fish go well together
كنت بغيت نعايات علا تاشي,I wanted to live longer than myself
معاش تعشيتي?,Did you eat dinner?
غادي نامشي باعد تالت يام,I'll be leaving after 3 am
هادي تصويرتك?,is that your photo?
أشنو وقاع بدابت?,what happened exactly?
شاراف لييا أناك سولتيني والاكين را مانقدرش نديرها,I'm sorry you asked me but I can't do it
حتا منين كايكون إدطيراب,even when it's a turbulent moment
"كنت كانضن غادي نعرد علا أسّيا, كاتعرفها.","I thought I'd be in Asia, you know."
كان داكشي باش نقدرو نكونو معا باعدياتنا.,It was so we could be together.
ماتقلّاقش!,Don't worry!
"بنيسبا ل ليوم, غادي يكون 150 دولّار","By the day, it'll be $150"
شوكران حيت عاونتيني!,Thank you for helping me!
بغيت نمشي ل أرجونتين أُنشوف كوندورس,I want to go to Argentina and see the condors
أخير مرّا حسيت بحال ألا وقعات ليا ناوبات هالاع,Last time I felt like I had a similar experience
عندو,He has
بسّاح?,how much?
كان خاسّني نشري تيككيات ديال لكونسرت قبل,I had to buy concert tickets before
مزيان ملّي رجّعتينا,It's nice to have you back
شنو غادي نطيّبو!,what are we going to do?
شهار حضاش,month
نتا مالاك,you are not a man
خسّني نصبّن حوايجي,He has taken care of my needs
داك الشال خايب,That's a bad thing
راك نعستي بيما فيه لكيفايا,You've got to sleep in a room with a coffee
عافاك هدر بشويا,please calm down
تبعني,Follow me
إدان عافاك ماتسيفتهومش معطّل نهار لاربع بلعشيا,And please don't delay Wednesday lunch
ماعنديش لحق نڭول!,I don't have the right to say!
واش هادشي علا لخدما?,Is this about work?
غير فهمتيني غالات,I understand the price
فارحان حيت هضرت معاك,I'm glad I had a talk with you
عندنا,we have
أش غايوقع فلمتيحان?,What's going to happen in the morning?
"تسنا, خاسني نشد كلبي","Hey, I'm gonna have to get my dog"
بزّاف ديال لأمور,Too much to do
فيك الجوع?,Are you hungry?
عندي مانقضي,I have a decision
واش هادا طوبيس اللي تايدّي ل كوتوبيا?,Is this the bus that goes to the station?
كاتبان مقلّق شوييّا,You look a bit nervous
فين مشيتي هاد لعام?,Where have you been this year?
كيفاش كاتحافد علا تركيز ديالك وست لماتش ?,how do you maintain your concentration and consistency?
علّاقلّ,I think
ماكايعجبهومش لخوبز?,don't they like bread?
إوا كيداز نهارك?,Does it hurt during the day?
هاد لقيصّا فيها إنّا,This story is about me
ماباقيش بغيت نشوفك ف شاريكا ديالي مرّا خرا.,I don't want to see you in my company any more.
كايبالّيا عندك بزاف تلحوايج,I think you have too many things to do
أُ راه كايعجبهوم توكّلهوم كيما كان لحال,And he liked to eat them anyway
هادي هييّا لحايات,That's my life
هادي أوال مرا غادي نركب فيها ف تيّارا.,This is my first time on the train.
هووّا قرع,He is a dog
حيت إمكان أيخاسني ناكول شي حاجة,I might have to do something
مانّساش لخير ديالك,I don't forget your best interests
كانعشاق شوكلات,I love chocolate
"ماشي موشكيل, علا حساب داكشي ليكايربحو, غادي إشري واهد أخور!","It's not a problem, in addition to the winning odds, I'll buy another one!"
موفاجاأ هادي ملّي شفناك.,It's a surprise to see you.
علّمني,teach me
خرّج عينيه,open his eyes
واش هادشي ماسموح بيه?,Is this allowed?
را خاتير تجي لهنا,You should come here
مسيان خانرسرڤي لزوج معا سبعا ديال لعشييا,The evening reserved for the husband at 7 pm
كتّرتي لبزار,I've been playing the drums
شعري دهبي,my hair is golden
عاضيم!,Good!
فايت ليك كاتعرفهوم?,How do you know them?
كاتفاكارني براحالاتي فلبرازيل,I remember my travels in Brazil
كاتبان ليا ماشي هووا هاداك,it seems to me that it's not you
أودي أنا ماشتون كتار علا شنو كاتخالّيني ندير!,I'm really excited about what you make me do!
راإس ديالي ماكانش فارحان,My boss wasn't happy
خلّيني نكمّل,let me finish
شكون ليكان كايعراف بلي ل أسسنسور إخسار إقدر تكون شي حاجة مزيانا!,Who knows the least censors can be a good thing!
طمّر,the weather
من باعد عرافت بيلا خديت نضاضرك أُ ماشي نضاضري,I've known since I've had a dream and not a dream
"أُه, أنا ماكانمشيش حدا لغابا","Oh, I'm not going to the party"
ماشي فيكرا خايبا,Not a bad idea
لايخلّيك,let go
مشا لحال,It's not easy
منين تكمّل هادشي..,when you finish this..
"أُه, شوكران بزّاف حيت جيتي عندي!","Oh, thank you so much for coming!"
بغيت نرتاح,I want to relax
كايكون لموستاشار ديال مادراسا كول تلات,It's the school's third birthday
لأوستادا را كاتسمعهوم كايدويو,the students listen to them speak
هاد الصايا قصيرا,this is a short sentence
ولادنا فل ميريكان.,We were born in the United States.
اللي بان ليك.,That's for you.
لكليان سول علاياش كاينفع لپرودويت,The client left the product in the window
ماتعتادرش,don't worry
كان شتا سعيب بنسبا ليهوم أُماكانضنش واش عندهوم بزاف ديال لماكلا,I was a little surprised by them and I don't think they have much food
إمتا ساليتي لخدما?,When did you get to work?
الشتا كاطّيح,the weather is raining
إوا بدا لقرايا بكري!,Maybe it's a very early reading!
واش جبت تاريخ صحيح,Did you get a date correctly?
واش كادير رييادا بزّاف?,Do you do a lot of sports?
لاشمن بلاد مشيتي?,Which country have you been?
واش مومكين تفكر فأي إرتيبات موحتمال بحيتاك أليومييا?,Can you think of any possible conditions in your life?
خصّني بورو,I'm bored
والاكين خود شي حاجا تاكلها معاها,But you should have something to eat with her
ل,i
واش غادي تاخود طيّارا أُلا تران?,Are you going to take a plane or train?
دابا نسوّلو.,Now we're asking.
خدّاما!,work!
واش بسّاح بغيتي دايع لعوتلا كولها هنا?,Do you really want to spend the night here?
أنا كانخدام هنا هير باش نجمع فلوس لماكلا أُ لكرا,I work here every day to save money for food and rent
واش ماخديتيش ليك شي حاجا,Didn't I get you anything?
أشناهووا أحسّن فاسل عندك و علاش ?,Which is your favorite dish and why?
"أُه, سمح ليا, درت معاك لغالاط.","Oh, I'm sorry, I'm wrong with you."
شوا ولا شي حاجا حسان,something or something
علاش اللا,why not
واش سافي تافقنا?,Should I agree?
فين إكونو تايقدّمو ماكلا مزيانا,Where they serve good food
أنا غارق حتّا ل ودنين,I'm even drowning down there
هووّا طرطق نفّاخا,He's a breathing diver
شنو لأعراد اللي فيك?,What do you mean?
"بساح, عنداك صاح ف لموسيقييين.","Sure, you have a musician's voice."
"والاكين, راك عارف, لوقت ديالي عامر, ماكايكونش عندي لوقت باش نقابل هاد تافاسّيل","But, you know, my time is up, I don't have time to deal with this detail"
ماكاينش حتّا شي فرق بنّسبا لييّا,There's no difference in my opinion
كان كايصحابني كنت مخبيا...,I used to be a secret...
راه تكون ف لفاضاء خيب من تكون هنا دابا,It's a shame to be in the kitchen now
كنت كانشوف ناس حدا لماسباح لمودا ديال ياوماين,I've been watching people at the beach in the daytime
أخير مرّا حاولت ب تيليفوني والاكين ماكانش السينيال أُ داك ل بوتون ديال لالارم ماخدمش,Last time I tried my phone but it was not signaling and the alarm button didn't work
"عندي مشروب هنا, شوكران","I have a drink here, thank you"
"قالبوك ضاضّي, أنا عارف!","You're so smart, I know!"
غادي ناحتاج بزاف ديال لما باش نداوز ڭاع هاد بطاطا,I'll need a lot of time to cook this potato
غادي إكونو عشرا ديال لكليان اللي رسرڤاو هاد الليلا معا تمنيا تليل واقفا.,I'll be the tenth of the clients who have been on the night with eight people standing up.
كوبّشلاباقيش,the cup is still there
حتارم الناس لي كبر منّك,I expect people to be older than you
هادشي ماشي معقول,That's not reasonable
فين إمكن نلقا شي سبيطار,where can i find a hospital
كناعتادر علا شنو ڭلت,I'm thinking about what I said
هادا كتاب ديالها,This is her book
"ڭالت بيلا غادي ندير, كاينا?","You said I'd do it, didn't you?"
شنو سمعتي?,what did you hear?
تقدّ تورّيني?,Can you show me?
كانقلب علا لبعويد,I'm looking for a long way
مابقيتش كانشوف مزيان,I'm not looking good
والاكين ماكاينين حتا عوطال مخلّصا فهادشي,But there are no real people here
عافاك الديني اللماطار,please take the train
عينيا منفوخين,My eyes are blown
ماتقاطعنيش,Don't bother me
غانمشي ل إوروپّا لعام الجاي,I'm going to Europe next year
تاشراب شي حاجا?,Do you have anything?
شحال تلوقت أُ هادشي كايوقاع,how long is it happening?
نقدر نفهم,I can understand
كايعجبك لبحر ولا لجبال ?,Do you like the ocean or the mountains?
