darija,tgt,src
"حنا ماكانستاجبوش, علا حساب هدارتهوم, ل ڭاع ألموتاتلّابات التيقنيا ديالهوم.","We were not surprised, at the expense of their efforts, by their technical difficulties.",ما كنشافاش، على حساب الجهود ديالهم، الصعوبات التقنية.
أش بان ليك هاد لويكند نتفرجو فشي فيلم فليل,I'd like to see a movie tonight,بغيت نشوف فيلم هاد الليلة
هاد ل شيتات سدقو مزيانين,That's a good deal of confidence,هادي ثقة كبيرة
زاز لوز,the rose oil,زيت الورد
كايبان شي مرات كايخلاع شوييا,It seems like sometimes it's a bit boring,كايبان شي وقتات كايحبطو
واش واخا تدّيني ل دار,Would you take me home?,واش تقدر تاخدني للمنزل؟
جاه كادو,I'm ready,أنا مستعد
بدا بل أسإلا لباصيتا,I started asking for a ticket,و أنا بدأت نطلب تذكرة
علا حساب لجوو.,For the joys.,عشان الفرح.
تطوموبيلات كتار,The car is very expensive,الطوموبيل غالي بزاف.
شحال كايتسالك?,how much do you pay?,شحال كاتدفع؟
لباره,once,مرة
عطيني مازال شوييا ديال لوقت,give me some more time,عطيني شوية ديال الوقت
هادا خبار زوين,That's good news,هادا خبر مزيان
والاكين راه السي هوسّام كايطلّعها علينا,But it's Mr. Oussam who is looking at us,و لكن السيد عوسام هو الللي كايشوفنا
واش بغيتي لقهوا?,Do you want coffee?,واش تبغي القهوة؟
واش عقلتي علا دوك ل أوقات اللي كنّا كانتمشاو فيهوم ف الجريدا فاش كنّا صغار?,Did you think about the times when we used to walk in the grass when we were younger?,واش فكرت فالوقتين اللي كنا نمشيو فيهم فالعشب منين كنا صغار؟
غانمشي نتقدّا دابا,I'm going to take a nap now,غادي ننعس شوية دابا.
فوقت لفاراغ ديالها كاتقرا كتوبا ديال الطابخ,She spent her spare time reading cookbooks,كانت تقضي وقتها الفراغ فالقراءة ديال كتب الطبخ
كاين بزاف ديال تانديم واخا هاكاك,There's a lot of noise but it's okay,كاين بزاف دالصوت، ولكن هادشي مزيان.
غير مجبّد ف لبحر,I'm always at the beach,أنا دايما فالشاطئ
عاد مشيت عند لحلاق,I went to the barbershop again,رْجعتْ لْحَلَّة الشَّعْر.
فين كنتي خدّام قبل ماتخدم هنا?,where did you work before you worked here?,فين كنت تعمل قبل ما تعمل هنا؟
أشنو كايخاساك دير?,What's your favorite?,اشنو اللي بتفضل؟
جمعا,Friday,الجمعة
كيدايرا لعاإلا كولشي بيخير ?,Do you always have a good family?,واش عادة عندك عائلة مزيانة؟
سالام,greetings,تحيات
عزاز عليا لحمير بزاف,He gave me a lot of donkeys,ويعطاني بزاف د الحمير
هاهيا لبصلا ديالك,Here's your notebook,هاهي الدفتر ديالك
نوبتهوم,it's their turn,دورهم
إنا داولا كاتعجبك?,do you like it first?,واش عجبك أولا؟
أُ عمّرك تخاف تدوي عليها,And your age is afraid to talk about it,و عمرك خايف يتكلم عن هاد الشي
هادي تابلا,this table,هاد الجدول
ديال الضو,the light,الضو
خاساك تبيعهوم فبلاست داكشي,You need to sell them in that place,خاصك تشتريهم فداك المكان.
ندر نخلسّ بكارتا,I can save by card,يمكن لي ندخر بالبطاقة
غانعيّيت لطّاكسي,I'll take a taxi,غادي ناخد طاكسي
"أُلّا ماكاين التا حاجة فشكل, هير روتين اللي مقلّقك?","Or maybe there's something wrong, what routine is bothering you?",و لا شي حاجة غلطة، شنو هي الروتين اللي كايضايقك؟
أنا لابس شي حاجة بحالها!,I'm wearing something like that!,أنا لابس شي حاجة بحال هادا!
حنا دابا فموأساسا ديال ألان طورينڭ,we are now on the basis of a developmental plan,حنا دابا على أساس خطة التنمية
عجباتني لپّيكالا,I like the recipe,عجبني الوصفة
غاناخود واهد كاس ديال لما عافاك,I'll take a glass of water please,بغيت كاس ديال الماء عافاك
تصبح علا خير,Good morning,صباح الخير
"كانقصد, إلا شفنا شحال كانخلص كولّا شهر, هامدولّاه أنّاهوم فابور.","I mean, if we see how much we pay every month, we'll tell him we're in the market.",كانقصد، إلا شافنا شحال كايدفعو كل شهر، غنقولو ليه بلي حنا فالسوق.
أُه هوما!,"Oh, they are!",أوه، هادي!
كايدوّش,he is not a doctor,ماشي طبيب
ديما كانجيب معايا بزّاف ماعرفتي لوقت أشنو تجيب.,I always bring a lot of things I don't know what time to bring.,دايما كانجيب بزاف دالشيئا ماعارفش فاياش وقت خاصني نجيبو.
إنا فيلم?,Is it a movie?,واش هادا فيلم؟
واخا تدووّز ليا لملحا عافاك?,Can you turn the salt on me please?,تقدر تدير ليا الملح عافاك؟
جدّا مريضا,my grandfather is sick,جدي مريض
عزيزا علييّا شلاضا,I love the beach,كَنْبْغِي الشاطئ
سدّ لباب,close the door,اقفل الباب
سوّلني,ask me,اسألني
غايكون سخون لحال ليوما.,It's going to be hot today.,غادي يكون الجو سخون اليوم.
أنا غادي نفكر ف هادسهي بزّاف,I'll think about it a lot,غادير فكر فيها بزاف
شحال فعمار لبنيتات ديالك?,how many do you have for your girls?,شحال عندك لفتياتك؟
إنا رييادا لعبتي فسخرك ?,is this the game you enjoyed?,واش هادي اللعبة اللي اعجبك؟
واش فيهوم شي واهد ناباتي أُلا ڤڭان?,Is there a date or date?,واش كاين شي تاريخ؟
مابقيتش كانستاعملو,I'm still using it,مازال حتا أنا كايستعملو
راه كايخاطّو كاملين باش ماتخراج حتا ماعلوما,He's taking a full bath to get out of the car without even knowing,غاضب حتى يخرج من السيارة من غير ما يدرك
شوكران علا الديقا,Thank you for the advice,شكراً على النصيحة
"يامكن ليك تحاول تقناع شيرير لكبير بهاد أنيا بغات فلوسها سافي, أُ نتا شاخص لواحيد ليكايبغيها بسّاح","If you're trying to convince my boss that I want her money enough, you're suggesting someone to love her at all.",إيلا كنتي تبغي تقنع رئيستي بلي بغيت فلوسها بزاف، كتاقترح على شي واحد يحبها.
كايستاحاق لملاين ديال دولارات باش ياحمينا,It takes millions of dollars to protect us,كايخد ملايين من الدولارات باش يحمينا
الريمايا رييادا كاتعيي بزاف,The weather is very hot,الطقس سخون بزاف
ماعنديش فاتيح شاهييا موفاضال,I don't have a favorite dessert,ماعنديش حلاوة مفضلة
كاتسوب واحد سيت جديد,I'm getting a new set,غادي نحصل على مجموعة جديدة
واش هازّ معاك تيليفون ديالك?,are you carrying your phone?,واش عندك هاتفك؟
حورّا?,Free?,حرة؟
بغا يكون ناجح,he should be successful,خاصو ينجحو
نتا عندك شي ماشاكيل شخصييا,You have some personal problems,عندك شوية د المشاكل الشخصية
والاكين معندناش!,But we don't have!,ولكننا ماعندناش!
كان كايدقّ فلباب,He was knocking at the door,كان كايقلب فالباب
لهربا,escape,الهرب
خاسني نراد لبال باش مانزيدش بزاف,I need to go to the gym so I don't get too high,خاصني نمشي للصالة الرياضية حتى ما نطيرش بزاف
والاكين إوووه,But he is,بلحاق هوه
لأستاد ديالنا كايعرف يقرّي مزيان,Our teacher knows how to read well,معلمنا كايعرف كيفاش يقرأ مزيان.
واش هادو تقاشري ولا تقاشرك?,Is it a joke or a joke?,واش هادي مزحة أو مزحة؟
"إوا, واش نحالّو هاد قارعا ديال شراب?","Well, how about this bottle?",واخا، آش كايساوى لهاد القارورة؟
النمر حاياوان موتاواحّيش,tigers are very important animals,النمور حيوانات مهمة بزاف
ستاغلّ لفورصا,Take advantage of the opportunity,إقترب من الفرصة
واش نقدر نهدر معا لمودير ديالك?,Can I talk to your manager?,واش يمكن لي نتحدث مع مديرك؟
هووّا قرّب يسالي,He is almost asleep,كاد ينام
ماجاش لقيسّم بزّاف هاد ل عام,I don't have much to offer this year,ماعنديش بزاف دالشي لتوصلنا لهاد السنة.
"ألّا, كايحمّقو","No, he's being stupid",لا، هو كايحرف بليط
شحال هيا لمودّا ديال لعاراد ليغادي نڭول شافاويان?,how much is the average amount of water to drink?,شحال هي المقدار المتوسط من الماء اللي يحتس؟
ماقادرش نتنفّس,I can't breathe,ماكانقدرش نتنفس
الديني ل الدار لايخلّيك,The house debt won't let you,الديون ديال البيت ماغاديش تدعك
أش كاين?,What's up?,شنو هادا؟
داري ماكبيراش بزاف,You're not getting too big,ماشي بزاف
قبل ماتمشيو,before you go,قبل ما تمشي
كانخدام مودير ماشروع فشاريكا كبيرا,I'm working on a large plastic bottle project,أنا كَنْخْدَمْ فْمُوجِدْ كْبِيرْ دْيَالْ الزُّجَّارْ البلاستِيكِي
سصبر مزيان,I'll have a good patience,غاديتكون صبورا بزاف
أهلان وا ساهلان,It's all right,ماشي مشكل.
تاواحد ماعاون هاديك لمرا لعورا,No one has ever helped me,ماكانحدا ماعاوجني
لبانان كحل,the banana is sweet,الموز حلو
شحال سخون شوا?,how hot is it?,شحال هاد الشي سخون؟
مازال ماجاش,Not yet,مَازَاليش
واش عانداك بورڭر بلا بصلا?,do you have a burger without a peas?,واش عندك برغر من غير البازلاء؟
"شوكران, أ لالّا","Thank you, please",شكراً، عافاك
شنو لي ماقدرتيش تفهم بدابت?,What is it that you can't understand?,اشنو اللي ما تقدرش تفهمو؟
"فاش غانخرجو من طريق, غانمشيو ل سيكتور ديال لحاياوانات","When I get out of the way, we go to the animal sector",منين نخرج من الطريق، غادي نمشيو لقطاع الحيوانات
واش كادان كالباك غادي يابغي فاطيرا ديال دجاج?,Do you think your mother would like a chicken pie?,واش كتظن بلي أمك غادي تبغي فطيرة د الدجاج؟
كيفما تلابت عاصير ليمون,how do you cook a lemon juice,كيفاش كاتطبخ عصير الليمون
"خاصني نقلبو علا هاد أنيا, أُ نورّيه أنّاها باغيا غي فلوسّو","I have to turn around, and show him that I'm ready for the money",خاصني نستدير، و نشوف ليه بلي أنا مستعد للنقود
"سالام, أشنو غادي تخسر ف هاد لغابا شيرّيرا?","Hello, what are you going to miss in this short speech?",مرحبا، شنو غادي تفتقد لهاد الخطاب القصير؟
زاعفان,double,مزدوج
بغيت نهدر معا لمودير ديالك,I want to talk to your manager,بغيت نتكلم مع مديرك
والاكين نقدرو نصاوبو صوص بلا ملحا.,But we can make it a saltless sauce.,و لكن يمكن لينا نصنعها صوص بلا ملح.
ماكانش يمكن نبقا بوحدي ف الدار أُ نقابل راسّي,I couldn't stay alone at home and meet myself,ماكانش نقدر نبقى وحيدا فدارنا ونتعرف على نفسي
لكلب تابع ديلو,the dog followed his,اتبع الكلب ديه
ماتحتاجش تمشي,you don't have to go,ماعندكش حاجة تروح
علا أقال لخوبز صيحّي!,At least the bread is delicious!,على الأقل الخبز مزيان!
لايخلّيك,Don't leave,ما تتركنيش
"تالج, لا ڭلاس","Please, please",عافاك، عافاك
كاپوتسهينو?,Can you help us?,تقدر تساعدنا؟
ماتسوّلنيش,Don't ask me,ما تطلبش منّي
هاني جاي,I'm coming,أنا جاي
تعنفيج,violence,العنف
أُلا بايض ديال لحوت - ماڭلتيش ليا أشمن نوع كان.,The first fish egg - I don't know what kind of fish it is.,أول بيضة سمكة، ما عارفش شنو هي.
مزيان ملّي فكّرتي فيها.,I think it's good to think about it.,كنظن بلي من الجيد نفكر فيها.
كاتقساد التوت?,You eat the nuts?,كيتاكلو الجوز؟
مانسيتش,I remember,تذكرت
"عرفت, والاكين شكون مول لفالطا ف هادشي?","I know, but who paid the price for this?",كايعرف، ولكن شكون اللي دفع الثمن؟
دارنا مقابلا معا لبحر,We've been facing the ocean,كانو كايشوفو المحيط
شفت هادشي من قبل,I've seen this before,شفت هاد الشي من قبل
ماكانطيّبش,I don't mind,ماعنديش مانع
خاديا تكون شامش,I'd like to be a chef,بغيت نكون شيف
عرفتي شنو?,You know what?,واش كاتعرف؟
ليكانلقا زوين هووا سوأل علا جواجها,if he finds a good friend he can ask about his wedding,إيلا لقى شي صديق مزيان يقدر يسأل ععرسو
كانطالاب بلحاق ف أنّاني ناختار لموسيقا ليكانبغي ف عيد ميلادي,I'm looking forward to choosing the music I want for my birthday,كايتطلّع للاختيار ديال الموسيقى اللي بغيت ل عيد ميلادي
كولّا مرّا,every time,كل مرة
إوا أُ لجتيماع ديالنا معا لكليان الجداد ديالنا,"Yes, and our team is together for our new clients",نعم، و فريقنا مع بعض لزبائننا الجدد
هدانا,this is us,هادا هو نحن
معاياش كاتمشي ل خدما كولا نهار?,What do you go to work with every day?,شنو كتنوصل لخدمة كل يوم؟
كاس ديال لحليب بارد,a glass of cold milk,كاس ديال الحليب البارد
كيداير لمانتوج هاد لعام?,What's the product of the year?,اشنو هو منتج السنة؟
باخي نارتاح,I'm going to rest,غادي نرتاح.
يالّاه,Here it is,هاهي
أربّي.,I'm sorry.,أنا آسف.
عافاك,please,عافاك
"أه, أي حاجا كاتباعاد علا هاد لماسباح خامسا دقايق","Yes, anything goes for five minutes",نعم، أي حاجة ممكن لخمسة دقايق
أجي لهنا,Come here,آجي لهنا.
"حيت هووا صاحب عوضو لماجليس, راه كاينتاقام","Since he is the deputy to the assembly, he is the president",حيت هو نائب الجمعية، هو الرئيس
الله إخلّي ليك ماعزّ عليك,God bless you,الله يباركك
ماعجبنيش هادشي,I don't like this,ماعجبنيش هاد الشي
شعلت لبوطا,I'm on fire,أنا كايشعل
أُ بزاف ديال لماوادّ لحافيضا,And a lot of stuff for the past,وشي حاجة كبيرة للي فات
تامان كان هووا هاداك لفلوسّ ديال لكليان,The last time he was that customer's money,آخر مرة كان هاد المال للزبون
ماخصّكش تأدي لحاياوانات,It's not your job to take care of animals,ماشي وظيفتك تهتم بالحيوانات
أشمن نوع ديال لألا لي كنتي كاتفكر فيها?,What kind of tea did you think of?,اشنو النوع ديال الشاي اللي فاكرتا؟
هادشي حلو بزّاف,It's very sweet,هادشي حلو بزاف
عندو شعر كحل,He has hair like a mouse,الشعر ديالو كحسن الفأر.
بشحال قطّعتي الطييّارا?,How much did you pay for the plane?,شحال ديت ليا الطيارة؟
عاوتّاني,I'm tired,أنا تعبت
دوازت شوييا ديال لواقت ف فرانسا أُ ألمانيا أُ أمريكا لجانوبييا,"I spent some time in France, Germany and South America",قضيت شوية من الوقت ففرنسا، ألمانيا وأمريكا الجنوبية
كانضنّ هادي أوّال مرّا كانتلاقاو.,I think this is the first time they've met.,كنظن بلي هادي هي المرة الأولى اللي كايلتقاو فيها.
نسيت شنو ڭلتي لييّا,I forgot what you told me,نسيت شنو قلت لي
راها تالت أكبار مدينا فسربيا,It is the third largest city in Serbia,هادي ثالث أكبر مدينة في صربيا
"أه أياه, هير تما مورا لمالعاب ديال تنّيس","Yes, he's going to the tennis games",نعم، غادي لعبة التنس
"هاهوا, دابا نعطيه ليك.","Here, I'll give it to you.",هاهنا، غادي نعطيه ليك.
هادي موشكيلا,That's a problem,هادي مشكلة
هاديك تونوبيلا سفرا ديالو,That's my travel ticket,هادي تذكرة السفر ديالي
منين تكمّل ڭاع لماراحيل,when you're hungry for the marches,و إلا كنتي جائع على المارشات
هاد لپروڭرام مسلّكني,this program is a great experience,هاد البرنامج تجربة عظيمة
كاتبان كبير,you look big,كتاضهر كبير
ماكاندانش مرايا تقدار تعاون,I don't have any idea of how to work together,ماعنديش أي فكرة كيفاش نعاونو
كانحماق و نتستا عليك,I'm so excited and looking for you,أنا متحمسة بزاف و كانقلب عليك
أنا غي عاسابي هاد ليلا,I'm just feeling sick tonight,أنا غاضب اليوم
ياك?,What?,شنو؟
صباحلخير,Good morning,صباح الخير
شنو واقع هنا?,What's happening here?,شنو كايجري هنا؟
والاكين راه ماعندناش بزّاف ديال لفلوسّ هاد لييامات.,But we don't have much money these days.,و لكننا ماعندناش بزاف دالمال هاد الأيام.
كايبان مزيان,He looks good,كايبان مزيان.
ماعمرك ماجربتي هيوايا جديدا ?,How did you experience new talent?,كيفاش عاينت المواهب الجدد؟
هسن,they'll be fine,غادي يكونو مزيانين
أشناهييا أحسّن عوتلا دوزتيها ?,what's the best thing you've done?,اشنو هو أحسن حاجة دازت؟
كايسترسّ ملي كاتشوف ناسّ أخرين كيخنيو,I'm nervous about seeing other people cheat,كايخيفني نشوف الناس كايخدعون
كان كايّاكول أُ كايهضر,He was eating and talking,كان كاياكل و كايحكي
كنت مفقّسّ هاد ليامات اللخرا,I've been up late lately,كنت مستيقظا حتى وقت متأخر
كايعوم كول صباح,He swam all morning,كان يسبح فالصباح كله.
عام,year,سنة
إمكان حتا أنا مقالقا شوييا?,Maybe I'm a little too fat?,يمكن أنا سمين بزاف؟
كاتعجبني لموسيقا لكلاسيكييّا,I like classical music,كَنْبْغِي الموسيقى الكلاسيكية
"ملي كاندوزو لاحضا مامتوقعاش بجوج, شرح ليا شنو كاتخدام عليه","When I'm walking slowly, I'm not expecting a pair, explain what you're doing with it",و إلا مشيت ببطء، ماكانتوقعش جوج، فسّر ليا آش كايدير به
عيّقتي,I'm tired,أنا تعبت
أُ أشناهييا لخودرا ليغادي تاعتيها لهاد لحوت?,And what kind of food would you like to cook for this fish?,وشنو النوع د الماكلة اللي بغيتي تطبخها لهاد السمكة؟
أنا مصافر ل توركيا,I'm traveling to Turkey,غادي نمشي لتركيا
ماكايبانش ليك شحال خاريبا هاد لوخا ?,Don't you think this place is so bad?,واش ماكندريش هاد المكان مزيان؟
كان عارف,I knew,كنت عارف
خويا مريض,My brother is sick,أخي مريض
ماكاتدرّني حتّا حاجا,He doesn't even teach me anything,ماكانعلمني حتى شي حاجة
واخا غادي نديرها.,And I will.,و أنا غادي نقدر.
"سافي متافقين, جمعا فلعشييا, رستورا تالياني و ماكلا زوينا","All right, the dinner party, the Italian restaurant and the fine food",حسنا، حفلة العشاء، المطعم الإيطالي والغذاء الرائع
ماعجباتنيش لهضرا لي ڭلتي,I don't like the sound of your voice,ماعجبنيش صوتك
خرجت من الدار,I left the house,خليت البيت
مزيّيت,I'm fine,أنا بخير
راه قلّعنا أُنتا ڭاع ماردّيتي لبال,It's a big deal and you're a good marketer,هادي صفقة كبيرة و انت تاجر مزيان
أنا فاقاط كاندير هاد لخدما بينما نضبّر علا خدما,I'm just doing this job while I'm working on the job,أنا كادرو هاد الشغل و أنا كادرو الشغل
دوي معا شف ديالك أُشوف واش إقدرو إعاونوك,I'll talk to your friends and see if they can help you,غادي نتحدث مع أصدقائك و نشوف إيلا ممكن يعاونوك
"أهلان, هادي أوال مرّا كانشوفك هنا","Hello, this is the first time I've seen you here",مرحبا، هادي هي المرة الأولى اللي نشوفك فيها هنا
شنو لمافاهيم لي ماحتاج نعوناك فيها?,What is the concept that I need your help with?,اشنو هو المفهوم اللي محتاج ليكي تساعدني فيه؟
"أولّا, أه, دارت بعض صحاب هنا كاندوي معاهوم ف موسيقا, لأداب, أُمنساش شوييا ديال شترانج!","First, yes, I made some friends here and I've been playing music, literature, and I've been doing some shopping!",أولا، نعم، أنا صنعت بعض الأصدقاء هنا وأنا كنت تلعب الموسيقى، والأدب، وأنا كنت ندير شوية من التسوق!
ب طابيعت لحال,Of course I am,طبعا انا
أنا أُستاد جاميعي,I'm a university student,أنا طالب جامعي
جاه ساهل يخرج هاداك لپوزّل,I'm going to get that bag out,غادي نخرج هاد الكيس
بصّح.,Right.,صحيح.
مومكين تدووّر من بعد?,Can you move on?,واش تقدر تتحرك؟
كيغادي يومك?,How's your day?,كيفاش كان يومك؟
يالّاه شي نهار نديرو شي ءشا روماسّي فليل تحت من نجوم,It's a day to have a Roman dinner under the stars,هادي هي الايام اللي كايعيشو فيها الرومان تحت النجوم
كاين هنا,He's here,هوه هنا
وصلات.,connections.,اتصالات.
هاهيا لاميا.,That's mine.,هادا ليا.
شنو بغيتي تڭول?,What do you mean?,شنو كايعني؟
ماكانتش متءكدا واش عجبها ولا لا,I wasn't sure if she liked it or not,ماكنتش متأكد واش عجبها أو لا
"أه, ماكاين التا موشكيل.","Yes, it's not a problem.",نعم، ماشي مشكلة.
غدّا لعيد,the next day is a holiday,اليوم التالي عطلة
منين ندوز لمكتابا ?,When do I go to the library?,وقتاش غادي نمشي للمكتبة؟
قبل لوقت,a while before,قبل شوية
بغيت أتاي بلا سوكار,I want a tea without sugar,بغيت شاي بلا سكري
بلاسا زوينا هادي ساراحا,It's a beautiful place,هادي بلاصة مزيانة
أُ كانتمنّا أنّاك تكون مازال كاتلعب ل ڭويتار!,And I hope you're still playing the guitar!,و أنا نتمنى لسه ما تزال تلعب الغيتار!
ألا نجينا غادي ندير شيكايا ل شاريكا ت طاياران,Can we make a check for the flight companion?,واش يمكن لينا نتحقق من الرفيقة؟
تواحاشت أناني نلعب لپيانو,I'm glad I'm playing the piano,أنا فرحان بلي كايعزف على البيانو
طريق السالاما,the path of peace,طريق السلام
هادي أخير حاجا توقّعتها,That's the last thing I expected,هادا آخر حاجة كنت نتوقعها
هووّا صبّار,He is patient,هو صبور
بقينا كانتسناو لخاسم يخلت,We stayed until the last Christmas,حنا بقا حتى عيد الميلاد الماضى
خلينا غير نبقاو ف روكك,Let's stay in the rock,خلينا نبقاو فالصخرة
هادشي موحزين,That's sad,هادشي محزن
واش يامكان ليك تكاتبيها عافاك?,"Could you write it down, please?",تقدر تكتبها، عافاك؟
كايعجبو يلبس سراول مزيرين,They like to wear cool pants,كايعجبوهم يلبسوا البنطال الرائع
"أهيا, راه عيد ميلادي","Come on, it's my birthday",يالاه، هادي عيد ميلادي
"لا, خارجات","No, it's out",لا، ماشي هادي
هاد لمخدّا ماشي موريحا,This is not a good idea,هادي مش فكرة جيدة
صالاير ديالك كايعتاماد عليها.,Your sailor is counting on her.,البحار ديالك كايعتمد عليها.
كايعجبوني ل أفلام الدرامييّا,I like drama movies,كَنْبْغِي الأفلام الدرامية
لمّاڭانا واقفا,the man is standing up,الرجُل وديا فوق
إقدر إكون ماكايدخلش لخاتر.,Maybe it's not the same as the elevator.,يمكن ما يكونش نفس المصعد.
هزّ يدّيك,Hold your hand,خدي يدك
ماتبقاش تبكي,Don't cry any more,ما تْبْكِيشْ.
توحشت دحكا ديالك,I miss your smile,غيفتقد ليا الابتسامة ديالك
شنو كاتمنا ناسّ إتفهمو عليك ?,What do you think people understand about you?,شنو كايضن الناس فاكتافك؟
ماكرهكتش تكون عندي شي ماشين نرجع بيها لوقت باش نعتي ناسّاإح لراسّي,I don't like having a machine to turn on when I'm getting a head start,ما عجبنيش يكون عندي آلة باش نشغلها منين كان عندي البداية
هادشّي علاياش كانقلّب,That's what I'm changing,هادا اللي غادي نبدل
دير داكشي لي كانقول,Do what I say,ديك الجهة
لما مقتوع,when I'm tired,منين كنعس
كانتمنا لموسعيفين إكونو وصلو لهنا,I wish the help had arrived,كانتمنى لو وصلت المساعدة
أُ حيتاش تران عامر ماشيتي علا راجليك?,And why did the train leave your car?,و علاش قطارك غادر طوموبيلك؟
أيخاسان نديرو عيلاج نفسي جاماعي,We'll have to do a little self-defense,خاصنا نحافظو على أنفسنا شوية.
واش مافيكش سخونييا?,Aren't you hot?,واش ماعندكش حرارة؟
واسه نتا مزوج?,are you a couple?,واش انتم جوج؟
مولات دار,It's not a house,ماشي بيت
بكّيتيني,I'm crying,أنا كايبكي
عندو برناماج ديال الطابخ,He has a cooking program,عندو برنامج الطبخ
والاكين عزيز عليك شي كوييسات ديال ل ڤين ديال فرانسا تشربهوم.,But you need some French wine to drink.,و لكن خاصك تشرب شوية من النبيذ الفرنسي.
إلا كانو غايجيو بطابيعت لحال,Otherwise they'll come naturally,و إلا هادي غاديو يجيوا بحد ذاتهم
ياكما هادي لبداي ديال شي حاجا كبيرا ?,Is this the beginning of something big?,واش هادي بداية شي حاجة كبيرة؟
كيف ڭلت ليك أنا شف أُغادي دير داكشي لي ڭلت ليك,I told you I'd like to do what I told you,قلت ليك بلي بغيت ندير اللي قلت ليك
بغيت نرتاح شويا,I need to rest a bit,خاصني نرتاح شوية.
كان كايسحابليهوم غانردّ راسّي غاني,If I'm going to get them I'll have to change my mind,و إلا كانو حتا نلقا، خاصني نبدل رأيي.
ماكاين ماحسّن من كاسّ ديال لبيرا فسايف,I'm not much better than a beer cup in summer,ماشي أحسن من كاس بيرة فالصيف
بسّاح?,What?,شنو؟
مومكين تعاوني عافاك?,Can I help please?,واش يمكن لي نعاونك؟
غادي تكون ليلا كبيرا هاد ليلا هنا.,It's going to be a big night here tonight.,غاد يكون ليلة مهمة هنا الليلة.
كانعقّم,I am getting pregnant,أنا غادي نحمل
واش كولشي هوا هاداك?,Is that all?,واش هادا كُل شي؟
هيا رييادا لموفاضالا ديالي,It's a reflection of my experience,هادا انعكاس لخبراتي
مايقدرش يتسنّا مازال,He can't get up yet,ما يقدرش ينهض بعد.
عندو فيدّيه,he has a gift,عندو هدية
واه,Oh yeah,اه نعم
مابغيناش نفاقدو لإتيسال ب باعدياتنا,We don't want to waste our time in our homes,مَا بْغِيناش نضيعو الوقت فديارنا
كانتمنا إتخفّف بزاربا,I wish it could be lighter,كانتمنى يكون أسهل
تامانات ديال ديور تلعو هاد لعام,The best home games this year,احسن مباريات الوطنية لهاد السنة
"واخا, مزيانا!","Oh, good!",أوه، مزيان!
راك قريب تسالي أوال تسافيرا ليك ف الطييارا!,You're about to get your first flight!,غادي تكون أول رحلة طيران ليك!
تقدرت شوف لييا معاك واش هاد لرپدويت كاين فيه لوانات و قياسّات أخرين ?,I'd like to see if this replic had other colors and sizes?,بغيت نشوف واش هاد النسخة اللي كايديها لون و قياسات أخرى؟
واش كولشي هوا هاداك?,Is everything that?,واش هادا هو كلشي؟
مشا يتقدّا,He is not going to eat,ماشي غادي ياكل
ماعمّرني النسا,I'm not too late,ما فاتنيش
فرحتيني,I'm glad,أنا فرحان
مايمكنش!,No way!,مُمْكِنْش!
أه داروري!,"Yes, I do!",نعم، أنا كايعجبني!
توحّشت جدّي,I miss my grandma,كانفتق لجدتي
ماغاديش نتهدّن!,I'm not going to lie!,ماشي غاديت كذب!
"حتارم لقاواعيد ديال نعاس بحال مايكونش حداك پك ولا تيليفون قبال ماتمشي تنعس, حتّا تلفازا","You should be careful about sleeping rules like not having your phone or your phone on before you go to bed, even on TV",خاصك تكون حريص على قواعد النوم، مثل عدم تشغيل الهاتف أو الهاتف قبل النوم، حتى على التلفاز
تصبح علا خير,good morning,صباح الخير
كترت التخمام,I've made a mistake,أنا أخطأت.
هادا طابيعي,it's natural,هادا طبيعي
مافهمتش كيفاش يمكن تكون فرحان أُ نتا ماكادّير والو لمودّات ساعات.,I don't understand how you can be happy and you can't work for hours.,ما كنفهمش كيفاش يمكن ليك تكون فرحان و ما تقدرش تعمل لساعات.
واش إمكان لينا نخورجو?,Can we get out?,واش يمكن لينا نخرجو؟
فين هييّا التصويرا?,Where is the photo?,فيناهيا الصورة؟
واش عندك شي موشكيل?,Do you have any problems?,واش عندك شي مشاكل؟
واش كاتخدام هنا كول نهار,Do you work here all day,واش كتعمل هنا كل النهار؟
أنمشي ناكول,I go to eat,غادي ناكل.
أجاراكوم الله,I'm going to see you,غادي نشوفك
عندي شوييا ديال لما,I have a few days left,باقي لي شوية داليوم.
كاين شي واهد هنا كايهدر بل أنڭلايس?,Is there anyone here who speaks English?,واش كاين شي واحد هنا كايهضر بالانكليزية؟
حوايج ديال الريياضا,sports equipment,معدات الرياضة
لكلب جرح ودنيه,the dog was hurt and hurt,الكلب كان مجروح و مجروح
دابا نشوفو واش أيبقا هاكّا فلمتيحان الجاي!,Now let's see if he keeps it up for next season!,و دَابَا، خَلِّيو نْشُوفو وَاش غَيْبْقَى كَيْمْشِي فالموسم الجاي!
"خاتات بلي غادي إكون كاملو بلوغا ليتهوانيا, أُماغادي نفهم تاحاجا.","I thought it would be a full trip to Hawaii, and I understand the need.",كنت فاكر بلي غادي يكون رحلة كاملة لهاواي، و أنا كايفهم الحاجة.
نود,i want to,بغيت
ماكانأمنش بلحوبّ,He didn't live in love,ماعاش عاش فالحب
أنا ميريكانيا,I am an American,أنا أمريكي
أُبتاباع إلا كان شي إضتيراب,I'm sorry if it's a mistake,أنا آسف إذا كان هذا خطأ
