tgt,src
سويبت كيكة ديال شكلاط,How do I make a chocolate cake?
دربت تمارا وتكرفست,He have done hardwork
غادي نردها ليك ف ساعت الخير,I will pay you back.
بغيتك ترجعي كيما كنتي من قبل,I want you to get back to where you used to be.
تانفكّر واش نقّز من هاد درجة,I think of jump off.
واش كايشرب أتاي,Does he drink Drinlk tea?
بغيت نسولك,I want to ask you something. What should I ask?
نشوفوهوم من بعد,We will see them later.
عطيتو زوج دراهم,I gave him 2 Dirhams.
عادة,"Usually,"
هي راه كتخط الشهاجة,Do you plan on doing something?
فهميني أختي ماشي داكشي لي ڭلت,I did not mean it.
الڭارو كايقتل,Does smoking kills?
تشهيت الخبز بزيتون,I want bread and olives. What are some examples?
سير خبيه من شمش,What is the cover of the sun?
غدا و سيري دبري على راسك,tomorrow and go
ماكانعرف نقلي تا بيضة,Why can't I make eggs?
وديتها واحد طبيب,She saw a doctor.
كانتسنّا فيك تاارد داك شفّار,I'm waiting for you to cross this thief.
أجي قشهر ليا هاد لبايدا,How do you peel an egg for me?
علاش مابغيتيش تجزم بدكشي لي كاتڭول,Why don't you want to affirm what you say?
كول عان و نتا بخير,Have a fantastic day and a fantastic year to come.
واحد شمكار جر ليا وجهي كامل بزّوار,A bum hit me in the face. What should I do?
أتنساي نتي مع الوقت,You will forget with time.
علاش مابغيتيش ت الدبز معا دوك ناس,Why don't you want to fight off those people?
تاحد ماغايقبل اليك فهاد الحالة,He wont accept you.
عزاز عليك المشاكل,Do you like problems?
ولكن نتا تلاحيتي عليا,But you just came at me.
كنتمنى ماتكونش مقلق من هادشي,Hope you weren't too irritated by that.
راه كيتيبو المسارين,They are cooking guts.
نوعي شي شوية,mix a bit
العيد قريب,The Eid is approaching.
سمحلي ماكنجوب,Why am I not answering anyone on Quora?
آه دابا نساقسي ليك,I will ask them.
كاينة الروطوبا,The weather is humid.
ڭلنا فاش تولدي غاتشوفيه مرة مرة,You will see him from time to time.
عقت بيا,She caught me
أش داك توصل عندهم,Why did you go to them?
عندها زهر,She is lucky.
فين غادي دابا,Where are you going?
تانا نخلي بنتها حتى تفلس,She sat until her daughter sat down.
علاش مابغيتيش تضمع را غادي تحس بخومة,Why don't you want to cry?
تقيل على القلب,He is too slow.
نتي راك همقة,You are stupid. Why?
أول مرة غانجرب,I tried for the first time. How did it feel?
لا خرجت نجي,"If I go outside, I come to tou"
والله تحركت ليك من هنا,I will not move from hre.
باش في نهار يدوب في المعدة,It will melt.
هي تربط معاه بهال خوها,She grew with us
واش كاتضنّ هادشي جاي من الطفولة ديالي?,Do you think this is from your childhood?
خليني نستقبل سحابي,Let me invite my friends.
محبوبات الجماهير,What is your favorite fan favorite?
ماكينيش لحسابات بناتنا,We should not behave like thisщ
خليني نعرض على الناس,Let me invite people.
غدي جيب ليك لا كارت,Just bring your ID.
راها حافظة نيويورك,She knows New York like the back of her hand.
ماتمشيش وتخليني,Don't leave me.
فيبراير,February
عمرك جربتي تربط شي حوالي بوحدك,Have you tried to tie up a sheep?
حيت هيا وصفة الجرعة السحرية قديمة بمكون غامض,Because it's a recipe for an ancient magic potion with a mystery ingredient.
عاود ليا على راسك,Tell someone about yourself?
صافي هتا نجي ونقوليك فين,When will I come and tell you?
هاد العام لكسابة كلاوها فدلوعهم مع المرض لي داز بين البهايم,This year they eat is between them.
غير يبقى عدمنا,He stays with us.
باقي غادي نتهل فيكوم,I will still take care of you.
واش نمشي نعيط ليهم,Do you want me to call theml?
هاديك أ جمي,A nice one.
كانڭولك دخلي سوق راسك,I told you to mind your business.
راه جا طبيب الفوڭ,The doctor is upstairs.
ياله نتحركو من هنا!,How do I get out of here?
عمرك جربتي تمركي شي بيت كوفرا,Have you ever tried to score a freekick?
مابغيتيش تديها فواليديك شوية,You don't want to mind your parents.
اللهدية كتر,watching other people
جاب ليا وردة,He brought me a rose.
تغير كيجي منك نتي من لداخل ديالك,"Change comes from you, from within you."
هي بلا مانحاول,Why don't I need to try?
بشحال هادش ?,How much is this?
راه بوحدو لي كيخوت,He is the only one Screaming.
كنت بغيت نعيط على تاكسي,I wanted to call a cab. How do I do that?
وقت كامل,full-time
غدا إنشالله غانسافر,I will travel tomorrow.
علاش مابغيتيش تخدّم عندك ناس,Why do you not want to hire people?
عمرك ت عصر داك البنان عصير,You should never make banane huice.
راها مرت راجل,She is married.
مابغيتيش ت زييّر راسّك,Don't get yourself worked up.
مشيت لحمام و شديت كسل,I went to bath.
غادي دجي غايد نڭولها ليها,I will tell her when she comes.
دابا تولي هيتا نتا مشغول,You are still busy
هادا صاحبي,This is my boyfriend.
دربت سبعي صغير معا سداري,I hit my toe. What should I do?
دخلو وهوما دايرين ماسك,They went and put it on masks.
ماكايتسنّعش,cool
نتا زقرام,Are you stingy?
كيداير الجو؟,How's the weather?
بلا ماتحسب,Don't count
هاديك ألا لا راها مرتو,"She is her wife, she said."
و لكن على فهمت هادشي غادي يبدا حساسية جديدة!,If I've understood this is going to start a new allergy attack!
نتحداك تسوور داك لمندر بهاد الطريقة,I dare you to imagine this sighting.
راه جاهم بيت مباشر مع البداية,They conceaded a goal right away.
مايتبدل البيد بزاف,Why don't you cook eggs too much?
أنا غادي نخش فهاد المتحان,I will cheat on this exam. What should I do?
إيلا حتاجيتي شي حاجة أنا غير هينا,"If you need something, I'm here."
واش سمعتو هادشي لي سمعت؟,Did you hear what you heard?
دابا نرجع من بعد,I'll come back later.
وا قنع دابا الوالد يرجع المدرسة,How do I convince my child to go to school?
أنا غادي نعقد ليك الكرافاطة,I will tighten my suit.
ماعندي تاشي علاقة بيهم,I don't have relationship with them.
راه طريا هاد الخضرا عودها على حسابي,This vegetables are fresh.
فينما نجي نلقاكوم كتاكلو,I always find you eating.
خليني نحفض,Let me revise.
واش زوين هادشي ولا خايب؟,Is this beautiful?
كون غير قدرت ن طلب منو يويلي يتعامل معايا مسيان,"If I could ask only one person to do good for me, what would it be?"
"بغيتي بطاطا فريت معاهوم, تاهيا?",Do you like french fries?
هير مرة مرّة.,It's only from time to time.
إوا ملّي مازال مازڭّينا لحفلا ماغاديش إخسّنا نعاودو نزڭّيو,"As we've not scheduled the party yet, we don't have to reschedule it"
خليو ليا حقي من الكيكة,leave me a part
"أنا كنحدرك, راه هيا أولا أنا.","I'm warning you, it's her or me."
علاش مابغيتيش تبللح البوليس بدكشي لي وقع,Why don't you want to call the cops?
ولكن حتى تما كايبان ليا فيت شايفو,But over there also seems familiar.
رقص شرقي هو لي دارت صاحبتي,My friend performed a belly dance.
بقا ترعد عليا,invite me
غادي نلبس فستان أنيق حتى نولي نحس بحال فحفلة ملكية,I'll wear a very smart dress so it will feel as if I'm at something royal
هاز معاها تقول,He carries weight.
مع من شتك شباحتك,The people you hangout with are your reflection.
باش تواصلني معاك.,So you can drive me
ياك كتهس براسك مزيان؟,Do you feel okay?
ماتلبتي غا المجد,I accept your request
نتحداك تنمي ديك الخدرا,I dare you to cultivate vegetables.
غادي نجي نتل عليكوم,I will come to see you.
بالاتي نلبس شي حاجة,Let me wear something.
عالت لهم شي هدرا ماكيناش,She told them weird stuff.
كانعيش في الأوروغواي,I live in urugway.
كانت تنحس بيه بزاف,I felt it a lot.
سانسور على لسان ديالك,The elevator is on your left.
أجي نتيا فين غادية,Where are you going?
بلا متوتر راسك,How do I stop being nervous?
خاصّك التاكول مزيان,You must eat well.
كانتسنّا فيك ت ديربني باش نردها ليك,I'm waiting for you to hit me.
زهر,Luck!
خفتيني نهشم بيك,Why are you afraid of embarrassing yourself?
و من جهتك,And on your side.
تحت كو هاد الليلة,I slept Ko this night.
خسكي دГ©كلارГ© بيها,You need to report her.
علاش كادڭول ليا هاد الهدرا هادي,Why are you saying this?
هادشي مكتاب علينا,This is destined to happen.
بنتي ليا فيك جوع هاد نهار,It seems you are hungry today.
وش نختار نمشي لبرا ولا نختار سيد,Should I go abroad or choose the mister?
آه، حنا كانديروها بزاف,"Yeah, we do that a lot."
نتحداك ت ديفرانسيات.,I dare you to differentiate.
راه كايدير تاتواج فالبحر,He does Todo
شجّل معاك هادشي لي ڭال,Waht he said.
عفاك قول شي حاجة,Please say something.
لكانلقا زوين هو سؤال على جواجه,What I find fascinating about her is the question of her marriage.
كايعاودي عليه تايبغيها بزاف,He told me that he loves her.
دار راها كبيرة,The house is big.
دابا نشوفو,We'll see
و أشناهو الموضوع لي عزيز عليا ف ناضارك?,What is your favourite subject in school?
راه قوي هاد الحيت ماتيحش,This wall is strong wont fall
مابغيتيش تعوّد راسّك على شبابك لي داع,You don't want to enjoy your adult life.
كنت كنشوف ناس حدا المسبح لمدة ديال يومين,I've been watching people around the pool for two days.
راه جداب بزّاف هاد دري بغيت نتقرب منو,This boy is very attractive.
طالا في والدين,How do I take care of my parents?
كاتمشي مزيان,She can walk well.
لمرا إيلا شفت شيب بحال نعجة إيلا شفت ديب,Does white hair bring prosperity?
هاد دار هيا ليكانت كانحلم بيها,This house is the one I've always dreamed of.
راه دوستور عليا.,The national code is Laic.
راه كان جادّ على مسؤوليت زواج من مورا لباك,I will marry after bac.
تانفكّر واش نقدر نربح هاد لموساباقة,I think of winning this contest.
كانتسنّا فيك ت يسّر ليها باش تنجح,I'm waiting for you to succeed.
واش كاينين الفكارن؟,Are there any turtles?
هاد المخدة ماشي مريحة,This pillow isn't comfortable.
شكون هاد التربية؟,Who is this boy?
مالين دار سبرو والعزاية كيفرو,My house got mad. What should I do?
كونغها تسنت لهدرتك,I wish I had listened to your advice.
سيفت لي لكود,What is the code to send me?
نقلبو و نخوفو أكس كاين,We will look and know whats there.
كناكل كيكة,I'm eating a cake. What should I do?
تفضل,please come in.
بدا الما كايدخل فلّوكة,The water is sinking the boat.
عنتبرع بأعدائي مورا مانموت,What do you think about life after death?
ولاه إلا مابقيت كانكل مع صحت غير سوال,I swear with this heat I don't eat anything I only drink liquids.
كان مخلوع من الحنش,He was scared by the snake.
فيناهيا,Where is it?
اليوم أنا نهار كامل كنتسناك,ive been waiting all day.
أنا تفاجت,I was surprised.
علاش مشيتي لتماك,Why did you go there?
شهال فيك ديال اللحمات,You talk non sense.
أنا تتخمت,I am stuffed.
خليني نبحث على هاد القضية,Let me do my research.
راه سبليوني تولد فلمغرب,This Spaniard was born in Morocco.
أنا غادي ندير وقتي فالقهوة,I will waste my time on cafe.
كان كيسحاب ليا غادي يعيط ليا كيما درت معاه,I thought that he will call me back.
وا خدمة زربة راه هيا هادي,He works in Casa.
غاناخد واحد كاس ديال الأتاي عافاك.,I'll have a cup of tea please.
ماتكلفش راسك راك غير كتمشي تقرا برا,You will study abraod.
ماعرفتش واش نشري شي كلب أولا نبقى خير نجمع فيديوات ديال كلاب سخيرين,I can't decide if I should get a dog or just keep collecting cute dog videos.
نقدرو نخيمو هنا ليل كامل و كنتمناو نلقاو طريقنا ف صباح منين يكون الضو,We could camp here for the night and hope we can find our way in the morning when
عندي شي خطط ديالي.,I have some plans of my own.
أمد الحياة ديال السنجاب بين تلت سنين و تمنيات سنين,The lifespan of a squirrel is about 3 to 8 years.
فين كينا هاد المرة,Where is that woman?
يالله تغدّيت,I just had my lunch.
بلا ما تبدا تسيتا علينا.,Don't fool me.
و لكن هادشي مكيقولش لينا حنا فين كاينين.,But this doesn't tell us where we are.
أنا غادي نعدّد ليك شحال من واحد دا هاد لجائزة,I will give you a number of winners.
كانتسنّا فيك ت منحني شي خلصة مسيانا,I'm waiting for you to increase my pay check.
كانو غير مربيها,She was adopted.
نجوم كيبانو فسما,The stars are visible in the night sky at night.
مانضنش غادي نطيري فيك,I dont think  shoot you.
بغيت نبدا نلعب لڭولف,I want to play golf. How do I start?
إمكن نقدرو نديرو كيكة ديال ليمون بالفريز؟,How do you make lemon pie with strawberries?
هادي قصة وحدة خرا,This is another story.
تعطلي بزّاف باش تخبي دواسّة,Is it too late to hide your files?
إمتا غادي ت خلّس لكرديت لي عندك,How do you pay off your credit?
تعطلي بزّاف باش قنعو يجي,Is it too late to convince him?
و علاش لا شي برغر و سلادة طازجة!,And why not a burger and a salad?
على قبلي,For me
أسرع حيوانات هوا الفهد,The fastest animal is known as the cheetah.
غادي نسمعك شي هدرا ماغاداش تعجبك,I will tell you what I don't like.
سير تيّب ل دياف,How do I cook for the guests?
بغيت ناخد واحد ساندويش,I want to take a sandwich. How do I do it?
مالك ماكتلعب معنا,Why don't you play with us?
خانمشي نشر مع صحابي,I will go to a party with my friends.
ماكاين لا عداب لا والو,No poblem at all.
واش كاتخرج مرة مرّة?,Do you go out once in a while?
علاش كتشوفي فيا بهال هاكدا,Why are you looking at me like this?
أنا غاندير داكشي,I will do that stuff.
قربو الانتخابات,Are we heading toward an election?
لي لقيتيها كولها ولي مالقيتيهاش ديرها,If you find it entirely.
رجال كاديريو الفلوس و شمايت يتبعو بالفلوس,He has moey
عاود ليا جاع قصة حياتو,He told me all his lief stories.
دابا عرفنا كولشي,Now we know everything
و مزيان نيت نبدلو من الماكلة ديال الدار,It's a nice change from cooking at home.
أنا خايفة عليه,I'm afraid for him.
بغيت كفتة ديال اللحم,I want cow minced meat.
ماديرش فبالك,Never mind.
"أيه, هادشي لي بقيت عاقل عليه على الماكلة.",What do you remember about food?
مشا ل حديقة ل حيوانات,He went to the zoo.
أنصيفتك عند هاد الطبيب إشوفك,Do you need to see a doctor?
إمكن خسّك تشوف شي طبيب ديال الريجيم باش إعاونك تنضّم ماكلتك,Should I see a diet doctor to help me organize my food?
خليني نسوور ڤيدو,I want to make a video. How do I start?
ام... كيفاش بالضبط كاتعبر على الخوف ديالك؟,How do you manifest your fears?
كيجاك شعري?,How do you find your hair?
عندي كلب,I have a dog. How do I train him?
عمرك جربتي الإحصاس ديال تحدة شي واحد و فالأر شوهك,Have you ever felt ashamed of yourself?
و ولدي الجيلالي مازال كايعاونّي ب جهدو كامل,And my son Jilali still helps as much as he can.
طبق هاد القاعدة,apply this rule
أنا فرحان أنني ف الدار,I'm so happy to be home.
و كنت أنا هو لي قدّم,And I was the one who presented.
اشنو درتي,What did you do?
في العرس داروري تهضرو,During wedding will talk.
كاتعجبني هاد الأغنية,I like this song.
كان كيسحاب ليا غادي يحكم هاد البلاد,I thought that he will rule the country.
بصح، بصح,"true, true, true."
واش من المفروض المتحان يغطي ڭاع مفاهيم لقريتها فالدورة الثانية؟,Is it okay that the exam will cover all of the concepts you saw in the second semester
لكرا تالع هنا,rent is too high. How can I fix it?
عمرك جربتي ترفد شي كونطرة ونديمتي عليها,Have you ever tried to refuse a contract?
شنو مبرزطك؟,What troubles you?
داكشي لي صعيب درتيه,Whats hard but you did it?
فات الحال,Is it too late to get married at 24?
غانمشي ندواكس,I'm going to shower. What should I do?
كاتعرفهوم؟,Do you know them?
واش كيعجبوك الناس لي خدامين معاك؟,Do you like your co-workers?
خاصك تسمعني,Hear from me.
مابغيتيش تقوي راسك بهد الأتاي ديال العشب,You don't want to strengthen yourself.
بغيت نتشاور معاك,I wanan take you advice.
ماكانسمع والو,I hear nothing.
إيلا مشا هتا دوا تاواحد ماكايعرضو,He does not speak much.
هبست شحال هادي,I stopped long time ago.
غادي تلاقا معا بزاف ديال الناس,You will meet a lot of people.
أنا غادي ن نخرت فهاد الڭروب,I will join thsi group
كنضن خاصك، بصفتك رئيس، دير شي حاجة بش تحبس قطع الدو,"I think you should, as a boss, do something to make these blackouts stop!"
اليوم مشيت لبهر,Today I went to sea.
شفو شي زرافات,They saw giraffes.
هاد سيف عدنا بزاف منقديو,We have a lot to do this summer.
معاها,With her
فايتلي شفت الخدمة ديالك,I did see you work.
عطياهم شبر ديال تساع,They give me space.
عاوالنا عليك بكري,What is too much?
أنا مسخّا,I'm tired. What should I do?
ختي غاتزوج,My sister is getting married. What should I do?
أشكاين?,What happened?
باراكا من النميمة,How do I stop gossiping?
سمح ليا سمح ليا ديما ...,I'm sorry I'm always sorry...
كلام ناس عمرو ماكايسالي,People talk never end.
دري سدق راجل قاليهم لا مانتفرقش على صحابي,But he did not want to separate from his friends.
بقات كاتوجد ف دوسي ديالها لعام كامل ديال باك,She applied after bac.
كولشي واجد,Everything is ready.
عندي شلّة ماندير,I have a lot on my plate.
ولاه إيلا مالك رخيص عندنا,I swear it's cheap in our store.
كانواعدك.,I promise.
خاصه مخدّة,He needs a pillow.
غاندير راسي ماشتكش,I will act like I didn't see you.
راه شداه دوخة,He is dizzy. What should I do?
غريب,weird
شهال مدخولك فنهار,How much do you make a day?
سموحات,I am sorry.
تعطلي بزّاف باش تحلّ لباب,When is it too late to open the door?
خاص تونوبيلا تكون متيسّعة,The car should be spacious.
بنسبة لليوم، غادي يكون 150 دولار,"For today, that'll be $150."
أنا غادي نخيط ليك شي تريكوات ديال سوف,I will sew some handmade shrits.
هاد الخدمة خدات ليا بزّاف ديال لوقت,"This work takes too much time, he said."
هو غا يخسر كلشي,He will lose everything.
حداهم,beside them.
واش ختاريتو أش بغيتو,Have you decided yet?
مانضنش غادي نخفف عليك,I dont think go easy on you.
ماعمرو جرا لي هكا,It's never happened to me.
مالك دمدومة,Why are you so stupid?
مانضنش غادي يعقد صورة ديال سبرديلتو خايبقا تايتيح,I dont think he will tie his shoes.
كولشي عندها رزل نقا,She has everything clean and tidy.
أنا راه مسخيش بيك,I will miss you.
تانفكّر واش هاد لورد ماغايموتڤه دغيا,I'm thinking if this color will fade quickly.
دابا حسب سفايه رجليك,Now go on your way.
غير دبر,Just look
الدراري سخر غادين بيهم فريحة,Young boys will travel.
كون غير قدرت ن نقاد خدمتي و نسور منها فلوس نعيش بيهم تا مورا مانتقعد,"If only I could have a good job and make a lot of money, what would I"
دور ليا.,Give me a call.
صافي باراكا عليا,stop that's enough for you
شنو أكتر حاجة متشوق ليها؟,What are you most looking forward to?
كانتسنّا فيك ت عرض عليا باش نمشي لدارك جديدة,I'm waiting for you to invite me.
تا واحد من ولادها ماكيشبهو ليها,No one looks like her.
تفرنيسا,smile
أش بالّيك نڭولو ڭاع غدّا نمشيو لشي تفجيجة,How do you say tomorrow we go on an excursion?
ماسمعتيهاش أش قلت,You didn't hear what she said.
كولشي بغا يطير,Why do people want to fly?
شريت واحد سندوقة باش نجمع فلوس,i dound a box
ماغانلقاش شي راجل فحالك,I can't find a man like you. What should I do?
ماعنديش بزاف ديال الصحابات من غير مونا...,I don't have any friends except Mona...
تانفكّر واش هاد لمسألة ساهلة,I'm thinking if this problem is easy.
ماكانش هكاك,I wasn't like this.
"وايه, راه كنت تانفكّر فل بوطون ديال لالارم.",I was thinking about the alarm button.
مابغاتش العائلة يسفرو هاد الصيف,My family doesn't travel this summer. What should I do?
كادوزي لوقت فداكسي بزاف,What is the best way to pass time?
عمرك ت خلّي شي واحد يفرشك,You should never leave someone expose you.
يتكل مشي طلبقي لوجهك,To eat not to apply to your face.
ديال وزارة كاتهتاقر ليوستاد,For a ministery that belittles teachers.
كنت ليكانتيب فيها المسام,The one I used to cookmsaman in.
راها 8:00 دابا,It's 8:00 already in the morning.
هاك أولدي تشرب الحليب,What is the best way to drink milk?
غانمشي عند الخواضرية دور معايا,I will ask my sister for money.
عطيني جوج كيلو لاروب ديال بانان,Gimme three quarters banane
أولا بيض ديال الحوت - ماقلتش ليا آشمن نوع كان.,Or fish eggs - you didn't say what kind they were.
واش هادي أول مرة كتجي المغرب,When was the first time you came to Morocco?
نتحداك ت فصل شي كسوة بحالوكا كيما وريتك,I dare you to wear a nice dress.
راه مريڭل.,He is weird.
يالله خرج من دار إيو بين ليا حنيت إيديك,go out and show them your power.
كانتسنّا فيك ت تعلّم تيري مسيان,I'm waiting for you shot well.
عجبني هاد الباندوش,I liked this shower gel.
خلينا دابا نمشيو جيت مالين ديسير,lets go to the fruits section.
كون غير قدرت ن قاد ترقان ديال لمدينة,"If only I could fix the city roads, what would they look like?"
فطيرة ديال دجاج,What is a chicken pie?
أطلع تاكول لكرموس هبيت شكون لي قالها ليك,Dont do it.
شناهوا الطلب لاخور?,What will be the next order?
ولكن الأجنبية الثانية مثانية ماخاترجعوش دافعو بزّاف,Wingers did not defend well.
مع طلبة آخرين,With other students
واش نعول عليك تنوقي ليا,Can you be reliable?
و نتا?,What do you think about you?
شرح ليا كيفاش كيبنيو دار,How do I count?
كانقول يقدر تكون دخلة زوينة!,I think it can make a nice entrance.
تانتسنا يدهخلو ليا شي فلوس,I am waiting for some money to come in.
دعيو معانا,pray to God with us
كان كيسحاب ليا غادي يسيد شي حوت كبير,I thought that he will catch big fish.
أفكارك هوما لي يتهتو,You think you are right.
بلاطي دابا نفرجك فيهوم,I will show you
علاش مابغيتيش تفيكسي شي هدف و طابر باش توصل ليه,Why don't you want to set goals?
تقام عليّة رخيص,It didn't cost me a lot of money.
آرا ليا هاقي من دكشي,"My cut, give me my cut."
عطونا شي هال,What is the solution to this problem?
واش هادشي كايتعلق بيا أنا؟,Is this related to me?
ماتبقاش تسنع,Dont be pretentious.
عمرك جربتي تموّل مشاريع سخر بحال هادا,Have you ever tried to fund a project?
و لكن غير إلا ماكانتش أتجيب معاها لكلب ديالها.,But only if she doesn't bring her dog with her.
راه مدير شعبة علمية,He is a science curriculum.
هملة زمرة ندمت عاي,I regret getting pregnant. What should I do?
وايه أبانا,What makes a man a sure man?
نتحداك ت عامر بحيات ولادك را ماتقدرش,I dare you to sacrifice your children life.
نزلة مخلوعة,I was afraid.
علاش مابغيتيش تشهد ف المحكمة,Why do you not want wintess?
خدام عند باترون كوري,My boss is Korean. What should I do?
"أولا بالأحرى, المرض ديالي لمن بعد, بالمناسبة.","My next patient, by the way."
البلايص ديال لخدمة تاهوما خاسهوم إكون فيهوم دوشات و بيوتا ديال تبدال,Work places also need to provide showers and changing rooms.
كان كيسحاب ليا غادي يدخل لهاد الحزب,I thought that he will join this political party.
سيفتو ليا - أنا محتاج لكليان!,Send him to me - I need more clients!
راه اختار يلعب مع المنتخب ديال بلادو,He chose his national team.
راه تمحنا بزّاف,We have suffered too much.
تاي دير تعام من جهة الجمعة,They make couscous on Friday.
مانقدرش نتقلق منكوم,I can't be mad over you.
راه خدام فتعليم,He works as a teacher.
حبيت لتحت عندي,What is the best way to come down?
قطع شانتي,Cross the road
عندي جوج كيسان ديال شراب زوينين فالخزانة حدا ناموسية ديالي,I've got two nice wine glasses in my bedside cabinet.
شي وحدة دخل معايا,I want someone to join me. What should I do?
أش بان ليك فهاد جيانات,What do you think about it?
علاش مالكي نتي فين ماشية,Where are you going?
هكذا أحسن,This ways is better
مراتي مانعاودش ليكوم شحال فيها ديال الخيرة,My wife is jealous of me. What should I do?
نسيت شنو سميتها,I forgot her name. What should I do?
"لبط زوينين, خصوصا الدكورا","The ducks are pretty, particularly the males."
جبد الكلب و حط الحراوة,Speak of the devil
البحر عمر بناس لي كيديو معاهوم البوتات و دلاع,The sea became full.
كانتسنّا فيك ت توّر من راسّك و تولي ڭاد,I'm waiting for you to improve yourself.
راجلي لي غدرني,My husband is cheating on me. What should I do?
ماتكونش شماتة كون راجل,Be a man.
حتال إمتا غا تبقا هنا,How much time will you stay with her?
هادك غادي يكون وقت غدا حزين ليهم,That would be a sad lunchtime for them.
شحال فالحرارة اليوم؟,What is the temperature today?
كيفاش كايشوفوك ناس؟,How do people see you?
سولتك علاش ماڭلتيهاك لينا,I asked you. What is your answer?
كاين واحد صياد القيق,There is a fisherman there.
راني مريض بزّاف من ڭنيلا و أنا كانتقيا,I'm too sick to die. What should I do?
فين بغيتينا نوليو؟,Where do you want us?
كانت صعيبة!,It was hard!
بغيتي هتا سوجيت بف,I want pfe subject.
"وايه, طهلّا",What is goodbye?
هادشي كامل كايدوز بزربة,It's all happening so fast!
خليني نختارع شي حاجة.,I want to invent something. How should I start?
ماكايحسش براسو مزيان,"He is not feeling well, he said."
مابقات عجبك تاحاجة,You say that nothing pleases you.
كنحاول ناكل دكشي صحي,How can I eat healthier?
مابقاش كايحملني,He doesn't like me.
المدير ديالك هو ليعرض عليك المسرح؟,What happens when your boss invites you to the theater?
أنا كنشبه الماما,I ressemble like my mom.
خليني نسوور ليه فين حنا كاينين,Let me show them
بلا ما تفارقهوم,How do I separate them without separation?
كانتسنّا فيك ت عنّب على دريا,I'm waiting for you to hit on this girl.
شنو ماخصش المشاش ياكلو؟,What should cats not eat?
كنشوف,I see
مانضنش غادي يبني شي بركة ينعس فيها,I dont think he will construct a home.
مالنا غادي نخافو منهوم,Will we ever be afraid?
عمرك جربتي توضع بحال هاد سكعة فشي بلاصة سخونة,Have you tried to store goods in a warm place?
منين غادي نجيب مليار يوروس؟,Where can I get a billion euros?
شحال من واحد سنين هادي حيت فالبيتكوين غير 100 درهم رجعات ليها بالملايم,I'm investing in bitcoin. It's been years.
خرج إضربك شوية تلبرد,What is the best way to get fresh air?
أنا أنكلمها ليك,I will bring her.
ديري هاديك لوقيتا ولا كولا نهار كيفيق باغي غير ينتاحر,He was thinking of suicide on zach day.
نتلاقاو في شي نهار آخر,We meet another day.
ماسيفتش لينا كتشب,He did not send ketchup.
مابغيتيش تبوزاي عليه و تصيفتي ليه تصوّرك ماتبقاش كادوي معاه,You don't want to flex on him and send your photos.
للراه مازال طويل,The night is still long.
كاينين بزاف ديال النصابة,Beware of scammer?
"هادشي الصراحة كايعاونّي نفكّر ف أش خسّني نكتب, لايحفضك","This is really helping me think through what I need to write, thank you."
كانتسنّا فيك ت عجب دوك زويح باش تولي ديما ديهوم لمطار,I'm waiting for you to impress tourists.
راه كايدير فيها برجوازي,He thinks he is rich.
هادوك ماشي من لمستوى ديالنا,Those people aren't the same status as us.
بالعكس غادي توانسونا,No it's opposite we would love your company
عطيني ليان ديالك,What is your url?
غادي ديما في طيارة,What is the best way to keep your seat always on an airplane?
مريض فعقلك,Are you insane?
مادام مرحبة بيك عدنا,Welcome Madam.
موهيم إيلا بغيتي شي حاجة أنا هنا نعاونك,If you want somehing I can help.
غدا فيقيني بكري,Tomorrow woke up me earlier.
ديتي ليه ليس فام دو ميناج,How do I give it to house maids?
كان درني داهري,Why does my back hurt so bad?
أنا راني خارج ف خدمة,I got out of work. What should I do?
غير تهنا نسيت كلشي,I forgot everything. What should I do?
أه، ياله بداو، فالواقع، هادو ياله باديين شوية...,"Uh, they just started out, actually, they're a little beginner..."
حيد عليك البيض راه كيجهد عليك الحساسية,Why don't I eat eggs?
أنا عطيتهلك كادو,Is it a gift?
أش هاد لهدرا كاتڭول,What are you saying?
تبع لي فيه تГ©لГ©ترافاي,There is work
آه تهرسّو شي تلاتا ديال سنات صافي,3 teeth have been broken. How can I fix them?
كانشوف تحت الماء,I saw udner water.
هادا نهار كبير,This is a big day.
راكي عرفتي قصتي أنا كيدايرة,Do you know my story?
هاد ل فلم موميل,This movie is boring
غادي يجيب لراسو شطيوة,He will get himself a coffe.
غادي يبيع بيسي ديالو,He will sell his PC.
راني كنت بديت داك الكتاب,How do I start reading books?
ماكنش عليك تاخدي الحمار,You shouldn't have taken the red one.
راه هيتا واحد ماغادي يطيقني,Why don't people believe me?
من هاداك النهار وليت خايف على صحتي,It was the last time I had a similar case.
عنمشي عند خلتي,I will go to my aunt.
راه مدواح ديما ماعمرو ما رد البال,He is always dizzy.
آه را جاني التسموم كليت شي ماكلة برا ماشي هيا هاديك,What should I do if I have food poisoning?
الدراري ماكلتهوم تجارة و كسوتهوم خسارة,They don't know how to wear.
عطيني المفيد ماتبقاش تلحلق عليا,What is the best way to give me important info?
خبيت ليك اللهم ف الخبز,What is the best way to put meat in bread?
صباح الخير لالا,"Ma'am, good morning."
كايدي المراتو فلوسها لي كتبت كتسيق دروج على قبلهم,He taked money from his wife.
عاويني وحالت,How can I catch up?
واحد نهار كنت گالسا فالقهوة تا بزقت عليا حمامة,A pingon shat on me
كانكبو الما فرملة,We are doing nothing.
المهندس لقا شي حولول ماكايناش,The engineer designed innovative solutions.
نهار طويل وشمس مازالا قاسحة,The day is long and the sun is still harsh.
