Original Moroccan Arabic,Translated English
ديك الحمرا,Red rooster
باقي في زنقة,It's still in the alley.
آه يقدر شوية ديال اللفت و البروكلي يكون حسن ليهم,"Yes, a little lettuce and broccoli would be good for them."
شحال مان هاقو ياخد في الكونجي,How much does it cost to live in a condo?
راه مس بالكرمة ديالك,It's a touch of your hand.
لوالد المن ولدو و نعلة عالمن رباه,To the Father of the world
فين غادي,Where are you going?
إمكان يجريو عليه!,It can be done!
أنا عندي علبلايص,I have seats.
مابغيتيش ت ستاخلّ هاد لعوتلا فلعب حيت بخا يخدم,You don't want to leave this tool unattended because it's working.
نتي ماكنتيش كاتسنتي لهادرا,You weren't expecting that.
إوا بغيت تجيو أجيو,"Yes, I want you to come."
كولّا شهر,Every month
أوه، ياربي، نتا بصح شي حاجة,"Oh, my God, you're right about something."
ماكرهتش كون كانت شي طريقة ثرب من المسؤوليات ملي تكبر وتبقى خير ناعس,I didn't like that it was a way to escape responsibility and grow up to be a better person.
راني سخفان,I'm tired
مابقيتش باغي نبهرك خليني مرتاح,I don't want to impress you anymore. Let me be.
أش من مسرحية غادي تلعب؟,What play are you going to play?
الباب لمحلولة كاداحل الخول و الخولة,The door to the solution is locked and unlocked.
غلابهوم تمع,Grabhum is pleased
تاريخ كايكتبو لي رابح,The date is written as a winner
ڭوليا هيا فين مشات؟,Where did Julia go?
واش نتا مزوج؟,Are you married?
خاصك تفكري غير فالحوايج زوينين,You should only think of beautiful things.
ماتسدوش عليا داك الباب,Don't lock that door for me.
سمح ليا أنا جديد هنا,"Sorry, I'm new here."
راه دجر هاد طير,This bird is a dragon.
هرب لينا البارح الفريق من القفص,Our team escaped from the cage yesterday.
كان كيسحاب ليا غادي يفضل ولادو على خطو,"If it were up to me, I would prefer to have children on foot."
قلبو زوين,He has a beautiful heart.
بغيتي دجي تشوفني اجي,Do you want to come see me? Come.
الله لي عالم ب حالي تا أنا,God knows what I am like.
راه ولد مدينتي,He is a native of my city.
شي واحد كبير أولا غير جوج ديال الأصدقاء؟,One large or just two friends?
نتحداك ت توي حوايج مسيان,I challenge you to wear appropriate clothing.
شمن طايل؟,What style?
علاقة سما,Relation of name
دواز ليا واحد فاكتور,I have a one-factor debt.
أجي طوي حوايجك,Come and pack your things.
وا صافي تانتا ماتقلقش,It's okay. Don't worry about it.
واش صافي سلو ليك,Is your salad clean?
الخلاص خسّو يكون فلوقت,Salvation must be on time
بلا ما تقرا هاد لكتاب.,Please read this book.
تاح ليا تليفوني ف الما,My phone fell into the water.
ناس كايبعدو على المشاكل وحنا كانقلبو عليهوم,People run away from problems and we turn to them.
كلمة ديال الرجال,Men's word
مابغيتيش تجاوب يعني مشغول,"If you don't want to answer, it means you're busy."
أنا غادي ندوب شكلاط فالحليب,I'm going to pour chocolate in the milk.
شنو كيعجبك دير ف فصل سيف ?,What do you like to do in the sword class?
سمعت كنتي فليست د'أتّ,I heard you were in the 'A' class.
علاش بغات تدي ليك ولدك,Why do you want to give your child to me?
باقى واقفة وهازا راسيها,She stood up and shook her head.
وعلاش مايرجعش؟,Why isn't he coming back?
فاش غاتكتر الخدمة غادي نوحلو,We will be opening the service center soon.
مكايبان ليا والو بلا نظار,I don't look like a man without glasses.
مازال خاصهم يزيدو يبدلو مدونة,They still have to change the blog.
عطيني ديك العيبة عفاك,"Give me that defect, please."
كون غير قدرت نخوي هاد البلاد,I was able to leave this country.
دكشي كان غا بطاطا,That was potatoes.
راه ممتع هاد الفيلم,This movie is fun.
بحال هاد اليوم تولدت,On this day I was born
زوّل هادشي را كيعيف,Take that off.
كان واصل,He was still
واش سمعتي أش قالو,Did you hear what he said?
رخيف عليهوم شي شوية,They are a little cheap.
نتحداك ت عدر شي واحد مدير هاد الخللات,I challenge you to find someone to manage these bugs.
خلينا نكتشفو شي نهار شي مدينة قريبة ماعمرنا مامشينا ليها,Let's explore some day a nearby city we've never been to before.
باك بغا ليك الخير,I wish you the best.
البلاصة لي فيها دب مافيهاش إنوي,The place where the bear is is not in my opinion
لعرس مابقا ليه والو,The wedding is not yet over.
الخدمة كتيرة هاد الليلة,It is very busy tonight.
أنا غادي نحيك,I will cut you.
راه تبدلتي بزّاف,You have changed a lot.
مكاينش لي كايخاف اليك كتر مني,No one fears you more than I do.
شحال زوينة الحي فالعروبية,What a beautiful neighborhood in Arabia
مابقيتش باغي نقنع أنا بغيت غير فلوس دنيا كلها,I don't want to be convinced anymore. I just want the whole world's money.
شحال من مرة كاتسقي هاد نبتا ف نهار ?,How many times a day do you water this plant?
علاش مابغيتيش تتخرج من الباب الكبير ديال هاد الفرقة,Why don't you go out through the front door of this building?
مانضنش غادي يحرڭني داك زيت ديال لقليان,I don't think I'll like this cooking oil.
نتحداك ت شدّ شي تير زوين,I challenge you to draw a pretty picture.
راه مبدع هاد الرسم,He is the creator of this painting.
لي فاتك خليه البنتك,What you missed is your daughter's.
خسّك تبدا بعدا تسوّل عليه,You're starting to wonder about it.
نتحداك يدوز ليك هاد الشهر تلاتة,I challenge you to get a third this month.
ماتڭوليش هاكاك هانية,Don't talk like that.
خويت بجهد كيحسابني عيادحل فيا بموتور,I have been working very hard to get my bike registered.
فين هيا التصويرة؟,Where is the camera?
كاين لي داير فعقلو زليجة وڭالس,I have a cold and a sore throat.
ديالاش نوبة لي كديرو؟,Why are you working my shift?
رانا تعلي القردة لراس,We're going to get the monkeys to the head.
حدي حادي ناسّ و دمدومة قاي لخرد,Only one person and the last one is a herd
ولكن باش عرفتيها؟,But how will you know her?
تهلّا ف راسك أخويا,Welcome to the family
عنديرو حيلوتة مع دراري ديال ديرب هاد ليلة,I have a meeting with a Derby driver tonight.
يالله نسيدو الهوت,"Please, missus, please."
هادا خليط مزيان!,That is a nice mix!
جيبو معاك!,Bring it with you!
أنا غادي خارج وغادي نرجع بداكشي للقيت!,I'm going out and I'll be back in a minute!
عيط على الواليد,Call your father.
لا غدا دب,No bear tomorrow
ماعرفتيش فين مازال نقلب؟,Don 't know where to look next?
تجربة زوينة هادي,This is a nice experience.
بلا ماتفرصي على راسك,Please don't risk your life.
كاين ف مراكش,It is in Marrakech.
سحرات الصاحبة,Witches and witchcraft
هادي هيا هدرتك أمون كوزين,Here is your cousin Amon.
تانفكّر واش أتخلعو هاد لبلاصة,I'm thinking of taking this seat.
ماجاش لقصم بزّاف هاد ل عام,It's not too bad this year.
لي جربتها تدعي معايا,Let me try it. Please come with me.
زادو عليا فالفاكتورة ديال الما و دو حيت تعطلت,I also have to pay the water and electricity bill because it broke down.
وقت,The time
آه داروري,"Yes, I did."
قالو البنات والو نديرو داك لي حر,The girls said if we did that it would be free.
كون غير قدرت نزيرو فالبلاصاج باش نتقم,If only we could visit the palace to get revenge.
نبقاو تعيين حبتين ف الكوميساريات,We are still appointing two people to the Commissioners' Offices.
كولا مرة كاتبدل,It changes every time.
كان كيسحاب ليا غادي عارض به,"If he were to pull me over, I would object."
هاداك لي قتل جدي,That's what killed my grandfather.
نهار كامل وأنا خدام ف جردة ديالي,I spend all day working on my inventory
ونفليه وجهو,And put him face down.
كانتسنّا فيك ت داوّا باش نسافرو لجبال,We were thinking of going to the mountains.
كيفاش نقدر نعاونك?,How can I help you?
دابا يبرا,It's going to be fine.
ملي يوصل شغلو هاداك,"When he arrives, work there."
نتقهاو لي بغيتي,Coffee if you like
كايديرني مكايناش ڭاع,I am not happy with my life.
كون غير قدرت ن حسب بزربة,I was only able to count on speed.
واش نجي ولا مازال,Am I coming or not?
لحمي كلو كيعجرني,My whole body aches.
ملي كنديرها عاد ماكاتشد فيا شمش كتر,"When her candy is gone, she doesn't care anymore."
كلا ليها دماغها,"No, she has a brain."
الواليد ديالي من نهار عقلت على راسي وهوا فنفس الهالة,My father was beheaded on the same day.
أنا غادي نستاهل هاد الكاسّ حيت متأكّد أنلعب مسيان,I'm going to win this trophy because I'm sure I'll play twice.
حتى نتا آرثر,So is Arthur.
بغيتي شوية ديال الما؟,Would you like some water?
بغا يدير تحليل,He wants to run an analysis.
العيالات هوما اللي غانيو,It is the ladies who sing.
جوبت غير صاحبتي,I just got my girlfriend.
بغيت ليلة دوز مفوجة,I want a double night.
هي حسن من لوخرين,She is better than others.
شحال فعمرك؟,How old are you?
كاس ديال الحليب بالشكلاط,A glass of chocolate milk
وغا قول ها ليه,And tell him that.
خاصني نعرف نقطات دوف ديالو,I need to know the points of the duff dial
وكسوف إيلا كين تما دكسي,I'll take a taxi if I have to.
خاصني نفكر فمسلحتي,I need to think about my weapon.
بلا ما تبدا دير فيها عاميق,Do not start a fire in the house
إمتا غادي ت نقزّ من هاد لبلاسّا,I'll be going to this plaza soon.
عمرك تتعجب من هاد الأشكال,Your mother admires these figures
ختيني عليك,Let me see you.
سمهولي بزاف أنا مابغيت,"I'm very sorry, I really don't want to."
غالباً عندك صح,You may be right.
الحماس ديالك كايمرضني,Your enthusiasm is making me sick.
طلو فيها,Fill it in
ماندينش غادي تفهم مع داك الأستاد را ديرهم مايديعوش,I don't think you'll understand with that teacher. He's not going to let them.
شنو الهدف من رحلة ديالك؟,What is the purpose of your trip?
صافي غير جلسي بلاش,Please do not sit.
هاد دري ختّو زوين,This is a beautiful lake.
نتحداك تكرهني فهاد الماكلة را مايمكنش كانحماق عليها,I dare you to hate me for this food. I can 't stand it.
هادا سميتو تبلحيس,"This is called a ""blueprint""."
هادشي لي كاديرو عيب,This seems to be a mistake.
لڭول خلا فرقتو نقدرة تربح بالحبيس ديالو,Longoul left his band to earn money from his imprisonment.
جمعها داكشي لي لبسا,Put it on my clothes.
واحد نهار غانغط مانسبح,One day I will go swimming
علاش شوهتيني,Why did you see me?
غادي نسونيو عليك منين يكونو الكوكتيلات واجدين,I will miss you when the cocktails are ready.
ماعمرني منسا الاحساس ديال تكية فالخيمة,I never forget the feeling of being in a tent.
أنا غادي نهرب من دار,I'm going to run away from home.
تانضنّ أن هادشي إقدر إكون حلّ,I think that might be a solution
هادي صبرة,This is a patience.
تانفكّر واش نبات معاهوم,I think it is a poisonous plant
كان جنان أرير غي بلاكس,It was a bed of black pine.
سيد راه كاين قدام الباب,The master is outside the door.
الكليان سول علاياش كاينفع البرودوي,The client asked why the Broadway was good.
هادشي ممكن يكون موتير.,It could be a motorcycle.
بسخك الماكلة,Heating the food
وعندها مشا مربية,And then she walked away.
و لكن يمكن بانت ليا شي طيرموس ف اللور ديال السلة.,But you can see a thermos in the back of the basket.
فيقاتني ماما الغدليه,My mother-in-law found me.
ليل,night
هادشي غايكون ف صالحنا بزاف,This would be very helpful.
ديك ساعة غادي تفرحلك بزاف,You will be very happy then.
ماتبقايش دوي معاها,Don't stay with her.
مابغيتيش ت قدّر نيعما لي نتا فيها,I don't want to be judged by how much I've spent.
أنا غادي نعزل هادسك دري بوحدو ماعنديش معاه,I'll isolate this dry disc by myself. I don't have it with me.
كون غير قدرت ن دور فهاد الدنيا بموتور,If only I could go around the world on a motorcycle.
باقي الخير في البلاد,The rest is up to the country
ستف الكتوبة ب الترتيب,List books in order
تعنفيج,Violence
قديمة,Old
ديري علاش قديتي,Tell me why you came.
كنت أختي ف تويليت,I was in my sister's bathroom.
شحال ختي خديتيها؟,How much did you take?
علاش مابغيتيش طالب بحقوقك,Why don't you claim your rights?
كيداز ل فيلم?,How about a movie?
غانشوفوهشي وحدة تعاونّا,We'll see it together.
حسّن من خامية,Better than raw
التفاهم هو كلشي,Understanding is everything
بغيت نمشي لكوريا,I want to go to Korea.
داكشي لي كنت كانخاف منّو تحتي فيه,That's what I was afraid of underneath it.
القرعة خاوية,The draw is empty.
قفرت عليه ملي تعرف أكس دار,I remembered it when I got home.
مرحبا بيكم وقتما بغيتو,You are welcome whenever you want.
مات ليها راجل,She has a husband.
هيدي هاد الحوايج من راسك,Take off those clothes.
واش هادشي كافي باش يعوض على الوجود ديالك فهاد الحبس؟,Is that enough to make up for your being in this cell?
هاد نهار غادي نهضرو,Today we will talk.
خانتقدا شوية ديال الحلوى ديال الدراري باش يفرحو,I think they need some of the local sweets to cheer them up.
شحال حلو هاد العنب,How sweet is this grape
خاصك تزيد القدام,You have to walk faster.
شريت واحد لبسة بتمان رمزي,I bought a dress in eight colors.
أعصابي على سبا,I'm nervous about the spa.
تانفكّر واش داك لموجريم أيشدّوه دغيا,I wonder if it's my fault he got caught so fast.
خليني نشد سانسور,Let me get a censer.
قاتلي أجي ندوزو عندها,Let me come and take a shower with her.
مامزياناش ليه سكاتا,We are not good at skating.
جا من ورا و عارف ما جرا,Come around and find out what happened.
نهر مخيت نخلص جات الأخبار,The river is called the Nakht-Natal.
نتحداك ماتباركش ليه إيلا ماتلقاك,I dare you not to thank him if he doesn't find you.
فين كاينة الماكلة,Where is the food?
كوني غير على خطرك,Do it at your own risk
واش ماهشمتيش,Is that not enough?
ماجبش الله,God is not pleased.
تعطلي بزّاف باش تزرب على هادش,You're too slow to jump on this.
لكتاب راه فوڭ طبلا,The book is in the table.
راهوم أطريقة زوينة باش تعلم فيزاد فيالمواضيع,They are a good way to learn more about subjects
شد بيتو و ختب بنتو,He pulled his house and left his daughter.
هتى نشوف فالفيس,Let me see the face.
علاش مابغيتيش تلع الفوق,Why don't you go upstairs?
و الماكلة?,And the food?
و لكن بصح لفراخ زوينين,But it's true that chickens are beautiful.
غادي نسدو دابا,I'll close it now.
هز داكشي لي تاحلك,Pick up what you need.
طلقنا خلاص واش غانبطو هنا؟,Are we going to stop here or are we going to get married?
هادشي ماعمرني شتو,This is very old for me.
معاه,With him
مشيت عند المكنسيان درت الفيدانج,I went to the vacuum cleaner and did the dishes.
ماتڭولش ليا علاش أولا كيفاكس,Don't call me because I'll be late.
دور على ليمن,Turn to the right
هادي وصفة خاصة.,This is a special recipe.
عيط السياد قلك بغيت تسبح,The gentleman called and said he wanted to go swimming.
نتا/نتي نور لي مدوي ليا حياتي,You are the light that has brightened my life
مكايجيش معايا,It doesn't come with me.
مافهمتش شنو كتقول,I don't understand what you are saying.
كايحرتو عليه مسكين وماكيتخلّسش مسيان,They are poor and do not get out of trouble.
دار داكشي لي طقال ليه,This house is called Li Li.
واش سميتك عاوتاني؟,Did I say your name again?
أنا مسافر لتركيا,I am traveling to Turkey
جيب ليا معاك شي حاجة,Bring me something with you.
راه ماتبقاش تخيل كتر من القياس,It is no longer possible to imagine more than one dimension.
فين غادي هاد طوبيس؟,Where does this bus go?
معاش نڭوليه إدوز عندك,I'll take it back to you.
راها طالت أكبر مدينة في صربيا,It is the second largest city in Serbia
تانفكّر واش قرّبت نشرف,I think I've come close to being honored.
حتى أنا مرتاحيتش,I'm not comfortable either.
سپور خاصو سحة و المنتال,Sports for health and fitness
كانت مربية المشاش,She was a nanny.
واتي بلاطي نسالي خدمة راه مزايرة أندي,"My plate is a service-disabled person. It's a lie, Andy."
كانقدر نكتب,I can write.
عمرك جربتي تشري سلعة مادايزاش فديوانا,Have you tried buying goods that are not subject to customs?
كون لقيت شي حاجة مانجيش عدك,If you find something I can't return it
خليت ساكي ف تاكسي,I left my purse in the taxi.
مابغيتيش تشوف هاد العرض لي فيه بزّاف ديال لمزاج,You don't want to see this show with too much humor.
راه أستاد متأكد دكشي علاش مدايرين هاد الحالة,I am sure that is why they are doing this.
كايلهات,Coats of arms
غادي نقطع جوج و نوريك,I'll cut in two and show you.
هاكي تاكلي الغدا,Here is my lunch.
قليل ناسّ لي باقين كيقلبو على حلال,Few people are still looking for Halal
مايمكنش نقبل الإهانة,I cannot accept insult
مايمكنش!,It can 't be!
ماقادر ناكل والو,I can't eat anything.
شحال هادا ماشتا فرحانة,How happy is that?
بقاليا غير نعاس,I am only sleeping
دابا نشرح ليك بشوية,Let me explain it to you a little bit.
نادمك لعب ديخية مع الفرقة,I regret playing with the band again.
راه غاتجوّج السيمانة الجاية.,He's getting married next week.
إتعلمو شوية روجولا,Learn some rules.
أنا ساكنة ف زنقة لولا,I live on the first floor.
مالك نية هاكا,The owner intends to do so.
شكون كان فالجتماع، و واش كولشي تصرف مزيان؟,"Who was in the meeting, and was everyone well behaved?"
اليوم نمشي لتيران,I'm going to train today.
سواب خاص ديرو معا ناس,Special swaps are made with people
راسي بدا كايدوخ,My head is spinning.
بغيت نبدل حوايجي,I want to change my clothes.
كون غير قدرت ن تسنّا نشوفو أش خايدير,If only I could have seen him better.
راه كيدوي بطريقة خاير مباشرة,It is handmade in a better way.
فكرني,Please remember me.
سربي,Hurry up
هلو عليا هاد الباب,"Hello, this is the door."
ماتلعش نخيب لي كنت باغي,I don't want to disappoint you.
فاش كانوقف قدام المراية,I should stand in front of the mirror.
واش واخا تجي تعاونّي نڭادّو!,Would you come and help us find it?
باش كاتحسّ ?,How are you feeling?
باقى فيا سالون,Stay in my salon.
جا هو لأول فالماراتون,He is the runner-up in the marathon.
فكرو فواليدكم و قراو,Think about your parents and read
لي بقا زين يسبر لتقيب لوادنين,It is still good to wait for the results of the tests.
كانقترح نمشيو كيما هكا ونبقاو مع بعضياتنا,I suggest we go like this and stay together.
واش كيعجبك الكحل؟,Do you like alcohol?
عندنا تذاكر باش نمشيو لمسرح غدا حتى هو.,We have tickets to go to the theatre tomorrow morning.
شهر لي فات,Last month
معامن جيتي؟,Where did you come from?
نسيت ماعطيتها تا حاجة,I forgot to give her anything.
وا خي شوفي فيا,Look at this.
كولشي كايدير خدمتو,Everything is running smoothly.
ماقادرش نتنفس,I can 't breathe.
دار رابط ف داك الدرب,There is a link house on this road.
علّ أقلّ,At least
كاين البرد,It's cold.
راني كنت بريط,I was British.
عطيه سميات ديال دروس,Give him the names of the classes.
تانفكّر واش نتبع تصاور,I'm thinking of following up on some photos.
خوكران الله يهداك,Thank God for your guidance.
قربت نجمع الواليديا باش يمشيو لحج,I was about to gather my parents to go on a pilgrimage.
ولكن غادي يخصنا بزاف ديال بنادم باش نلعبو فريسبي مزيان,But we will need a lot of people to play good Frisbee.
كاندن خايكون خلط,Some people think it's a mix-up.
سير تريني معا راسكت,Please show me your hand
كون غير قدرت نلبس لي بغيت,I can only wear what I want.
شحال عندك فالساعة؟,How much do you charge per hour?
نعملة,I'll make it
"ماشي ليا الصاحبي, شكرا","Not for me, thank you."
خاص نصيفت إيميل ل باترون ديالي,I need to send an email to my employer.
العجب البعيد الموت,The wonder that is death
ل موحيط ل أطلاصي كبير بزّاف,The surrounding area is very large.
ولدك بعيد من الحرام,Your son is out of the way
فالحقيقة مافياش جوع بزاف,I'm not really that hungry.
كيداير زواج أختي,My sister is getting married.
واحد الحلوى نادية,One club dessert
دعيناكوم ل الله,We pray to God
ولكن هادشي كايعيى,But it's boring.
لايسعد المساء,It is not a good evening.
ماخاصش تقيس الما لي كيكون راكد,Do not measure water when it is still
تختبو غير فلمزوجة,They are only found in the wild.
همم، محال,"Hmm, not at all."
كانت كا دير راندا,She was doing a rant.
كيما كانتمنا ناني شرفتكوم فأكبر الفرقي برا كلعب إنشالله تا كامدارب,"As I was hoping to meet you in the biggest club outside of the city, I hope you will come."
كون درت لڭماتا,I have been to L'Yngmata
كون غير قدرت نديها فهاد الموعد,I was unable to make it on time.
شكرا بزّاف.,Thank you very much.
تا فات الفوت,Too late
مانضنش غادي يمتل هاداك دور مسيان,I don't think that this role will be filled by Miss Messaian.
راجلي لي دار داكشي,My husband is in that house.
يكما تكون جاتني شقيقة وا دكشي لي بقا ليا,"If I had a sister, I would have stayed with her."
أش بان ليك فدكشي لي كاديرو سعودية دابا فشريان العابة الواعرين,I think you should go to Saudi Arabia and buy some naked toys.
شحال صعيبة طريق رجوع ديال سفر,How difficult is the return journey?
عماتو مقابلين لقل ولقال,The two opposite sides of the triangle are called the hypotenuse and the hypotenuse.
سيمانة كاملة وأنا طالعة حبتا,A whole week and I'm looking for love
كيخسّ تحت فراشك إتشمش مرة ف سيمانة,Lie down under your bed and sunbathe once a week
مالقا إمتا يسد غير دابا,The mall is only closing now.
نديرك فوق راسي,I turn you over my head
علمادة القاصر,The minor pillar
ماتهدرش راس,Do not shout
حتّي داك تليفون,Even that phone.
كولا نهار كنخصل معني,I take a break every day.
بسلامة حبيبة موح,"Good afternoon, my dear"
مالك زعفان؟,Do you have shoes?
ماتسمعيش ليها كتكدب,Don't listen to her lie.
عمرك ت دوز نب هاد الزنقة الخطيرة,Your age is not a factor in this dangerous street.
ماكرهتش كون مشيت لكونسيرت كيكان الجو,I hated going to the concert. It was so hot.
عمرك جربتي دي ليك ديوانا ڭاع سلعة ديالك,Your mother tried this on you. I'm very proud of your product.
أنا راه مشغول هاد الأيامات,I'm busy these days.
إمتا غادي ت تقدّا نيت,When will you be ready to go?
خاصهم يديرو خدمتهم,They must do their job.
ماتفضحش راسك بكري كون محطوب دابا,Don't show your head too early because you're already broken.
شحال هادي ماشفتهم,How many of these have you seen?
وسالني المنين حزيتيني جبيلا,I forgot that you made me feel beautiful.
لعبة تبدلو تونيات مورا الماتش,The game was changed to a post-match game
علاش مابغيتيش تهبط لتحت,Why don't you go downstairs?
كانتسنّا فيك حدا شركة,We were in a company.
عندك شي سكر؟,Do you have any sugar?
دخل الكوزينة و جيب ليا شكلاط,He went into the kitchen and got me a chocolate.
الأستاذ ماعمرك ماخاصو يقيم على المدو,Professor Ma'ammar Makhachkala is staying on the campus.
ماربيتش ولادي على الكدوب,I didn't get my son on the plane.
صاحبتي رحلة,My friend is traveling.
الحب زوين,Love is beautiful
بصح المشاكل الأمنية ارتفعات,The security problems have increased
شفتي هاد المجموعة هو لي شراها ليا,I see this set is the one he bought for me.
هادشي مهم بزاف,This is very important.
دابا ملي نتا مريض بالقلب ماتبقاش تجري,Now if you have a heart condition you can't run anymore.
قرصاتني شنيولة,My foot is sore.
كيقلب على جوا منجل,He is looking at a manhole cover
المدينة كاملة درناها,The whole town is watching.
هادشي مضحك,That's funny.
غادي يندمك,You will regret it.
سبغت شعري,I bleached my hair.
علاش دول والكرامة كاينة,Why do countries and dignity exist?
را ديجا شفت إمتا غايكون لفيلم,I've already seen the movie.
ومافيخبريش أنا,I didn't tell you.
كاتلقى واحد ماعندوش تا باش يتعشا و ولد ستة ديال الدراري,She finds a man who has nothing to eat and gives birth to six children.
ياكما قلت شي حاجة كادحك,Did you say something wrong?
مانضنش غادي يترعد دابا,I don't think it will now.
يالاه نقزو ونحتافلو ب الربح ديالنا,Let's celebrate our win.
كنتي كاتلعبي مع الصغار,You were playing with the kids
وقتاش رجعتو,When did you return?
ياكما خاصك شي بيجامة؟,Do you have any pyjamas?
خلي هتا تبرد دعوة,Let it cool down a bit.
يعني صعيب كلش يفهمها و يقراها مزيان,It is very difficult to understand and read well.
تقبلات في تعليم,Acceptance into education
أنا حشمان بزّاف على شنو درت,I am very proud of what I have done.
شكون هادي؟,Who is that?
العيالات ولاو يخدمو على الرجالة,Women or men
راه عندهم سكنى فلمدرسة,They have school accommodation.
مادرتهاش بالعني,I don't know what that means.
هيت عمرك غادي تكون أم,You are going to be a mother soon.
مانضنش غادي نسرح ليك شعرك داريني إيديا,I don't think I'll let you have your hair done. Give me your hand.
تقدر تشوف معايا شي پردويات لشي واحد عندو حساسية ?,Can you show me some curtains for someone who is allergic?
رخيف على راسك,Cheap on your head
امتا غاتمشي لدارك,My mother is going home.
باغا تقلي ليا سم,Please tell me your name
شحال من لعب عدنا كايدخل غير معرفة,How many games we have is beyond our knowledge.
خليني نعاون في البني ديال هاد الجمع,Let me help you build this collection.
مكايقدرش عليها,I don't like it.
قلت ليك غادي يضربك البرد,I told you you would catch a cold.
و كاين ديما أفلام باش تبدّل الجو.,And there are always movies to change the mood.
شنو خاصك ديري,What do you need to do?
راني غير بريانية,I am not a British citizen.
عاد كتفترو أولا شنو?,Did you check it again or what?
كون متفاهم شوية,Be a little more understanding
و قبل ماتمشيو را باينة كابيتان إيلا كنتي نتا حتى تحتار حنا لوولين نتيريو صافي,"And before you go, Captain, I want you to know that we're going to be on the safe side."
أجي نغبرو واحد يوماين,Let's go for a walk in a couple of days.
هاد توني كيسوى ميتين الدرهم,This one is worth two hundred dirhams.
كان كيسحاب ليا غادي يوزع لينا شي فليسات هاد العيد,"If I win, we'll get some Christmas cards."
أنا مقتانع أنا أحسن الحلول كايجيونا مع تدواش,I am convinced that the best solutions come with a plan.
سير تنعس,Walk with ease
مابغيتش نفطر,I don't want to eat breakfast.
كان كايغني حتى فنعاسو.,He sang until he fell asleep.
واخا عافاك تلوح ديك المسكة ف الزبل,"Okay, please put this cake in the trash."
مانستاهلش نتله ف زنقة,I don't like to be left in the alley.
عندي بزاف ديال الروايات غادي يعجبوك,I have many novels you will like.
لي قال العصيدة باردة يدير إيدو فيها,Lee said the soup was cold and he turned his hand inside it.
بلا مطلب على مدرسة جديدة,No requirement for a new school
سير تكا ليك ترتاح,Please rest.
كان كيسحاب ليا غادي يكمل خدمتو ديخي,"If he were to pull me out, he would have finished his work by now."
هي تمعا ليا ف كرشي,It's in my pocket.
إوا شفتي شنو ڭلت ليك,See what I did to you?
مانقدرش ندير شحرفة خرا من غير هادي,I can't do any other magic than that.
راه جاي غا صبر عليا,He is coming to pick me up.
راه هو كايدرب مرة,He is running again.
أنا ماشي داكشي لي بانليا,I'm not that good at bananas.
مكاين لاش دجيبو شي هد آخور,They probably didn't bring any more.
كون غير قدرت ن سيفت ليه شي ميساج و لكن ماعنديش كونكسيون,I was able to leave him a message but I don't have a connection.
تانهدرو,Do not touch it.
صافي مشينا بيها,We have already walked through it.
مادرليك والو,Madeleine and the wolf
كيفاش تلبس نظار كايلعب دور فهاد الأعمال الوحشية؟,How do you wear glasses when you play a monster?
اشنو باغي دير؟,What do you want to do?
خرجي فيها عينيك,Open your eyes.
تعطلي بزّاف باش تغتّا,I have too much to lose
بنادم مفارخ,I want to be happy
ماما عندها بوطة ديال الغاز,My mother has a gas can.
تحجاج,The fight
كيعجبني بزاف البانجو، داكشي علاش غاتكون زاحية!,"I love the banjo, so I'll be good!"
علاش مابغيتيش تقابلني فديك البلاصة ياكما حيت عمرة شماكرية,Why don't you want to meet me at that place or because it's dark?
تعطلي بزّاف باش تشرب لما,I'm too tired to drink water.
كاتيأدن العصر دب,The afternoon is coming to an end
هادش لي عطا الله,This is God's gift to me.
واخا كنت كانڭول ماعمري نزعم نعاود ليها,"Well, I was thinking about going back to it."
ولا غير ننعسو و صافي، ذل في راسك دابا,"Or just sleeping in and being clear, that's in your head now."
بهالك بحال البنات مرحبة بيك,That's how girls like you.
مابيكش,It doesn't matter.
هادي عام ما كليت,This is the year I ate.
عندك يعطس عليك راه مريض,You have a cough. You are sick.
سير عند جدتك,Walk to your grandmother's.
مانضنش غادي تقدر تعيش كيما كنتي مورا هاد العملية,I don't think you'll be able to live like this after the operation.
وا هادوك غير معقدين ماقارينش مانديوش عليهم,And these are just complicated things that we don't think about.
إيلا كان شي موضوع مهم غا يهدر معاك,If there is something important I want to talk to you about.
عمرك ت الشي مشروعك و تا يالله فالبداية,Your life is your project and your God is the beginning
كنضن الخبز كيغرق و كيخلي دايا خايبة - داكشي لي سمعت بعدا,I think the bread is sinking and I am in bad shape - that is what I heard later
منين جبتي الفلوس,Where did you get the money?
إوا ڭلس بزّربا و غانشوفو ليك التمارين ديالك,Sit down quickly and we'll show you your exercises.
الدراري خانبدلو تهكيلة سدمونة لاخرين ماشي مشكل ماتخلعوش,The drari are changing their composition. The others are fine. Don't take them off.
ماكنتش عارفة.,I didn't know.
تعطلي بزّاف باش تمشي تشكّا,It took me too long to check in.
خيط داكشي لي قلتي ليا,Follow what you told me.
من إمتا ونتا هنا,From here to there
ماكرهتش نتسركل شوية فشمش واحد شوية مازال,I don't like to be a little bit more in the dark.
كايجيب سلعة من برا,He brings a shipment from abroad
ولكن أش كتقصد بشوية منو؟,But what do you mean by a little bit of it?
آرك الحفادة,The granddaughter's arch
قالت ليا عندها حوت كبير خاطقليه,She told me she had a big fish that was chasing her.
