tgt,src
علاش مابغيتيش ت وجهني ملي حسّيتي بي أنني دلمتك.,Why don't you want to show me how much I hurt you
كانتسنّا فيك ت بني شي بيسين فدار,i'm waiting for you to build a house
أنا ماشي سوقوم فيا,i'm not going to bed
بغيت نطلق,i want to shoot
أجي نسكنو بجوج,we'll live in the city
أنا غادي ن نفسد صافي عيت,i'm going to ruin the net
زيديني شوية ديال الأتاي,give me some time
حداهوم,they're tight
كون غير ماكليتش بزّاف,if only you didnt eat too much
نسولك عفاك؟,beg your pardon?
مابقيتش باغي نخلص ديك الضريبة,i don't want to lose your tax
غادي ندبّرو على الجزء لي كيتكل، و نقطعوه لشرائح غليظة.,"I'll take care of the part where I eat, and cut it off for a lot of slices."
بغيت الخاص هاد الكتاب,i wanted this book
وصل نهار لي غانمشيو فيه عند الناس,i came to go to people
أنا غادي نركب فالكار,i'm gonna ride the car
وافين سي في الوجبة الحليب والتمر,i will eat milk and milk
راه مستقلة لبلاد على فرنسا,he is independent of France
من بعد,later
كون غير قدرت ن عترض على هادش لي طاري,if only I could object to this bird
راه جسد ديالك غادي لور لور,your body will go to Laure
آه، العموم ممنوع هنا,"Uh, the public is forbidden here"
خاصنا نتافقو على واحد الحاجة,we need one
مابغيتيش تفهمي هاد الحضرة,You don't want to understand this culture
المكسي بحوايج ناسّ عريان,the taxi is in the clothes of naked people
الاهتمام والرغبة لي المجال الطفولي والشباب,care and desire are childish and youthful
درت معاه المزيان.,I went with him for the best.
كانمشي صباح وعشية,i'm going to go to dinner
دير نظرك,look
كانقتارح ناكلو لفرماج بل فورشيطا,i think i'm gonna eat for breakfast
عمرك جربتي تسوول على شي حاجة باينة تكايقمعك لأستاد,Have you tried to ask for something
ماكانشربش الحليب,i didn't drink milk
وا شحال داصر هاد ديري ماربيتوهش,what are you doing?
وسخان علينا رسنا وبغينا نرتاهو,and we want to see him
عمرك تديها فديك المسألة,you should never do this
و ماتخافش، غادي ندير داكشي بزربة,"Don't be afraid, I'll do a good job"
أنا حشمان بزّاف على شنو درت,i'm too old for what i've done
هاك أولدي تشرب الحليب,i will drink milk
كان كيسحاب ليا غادي تحدّاه,i thought that he will dare him
علاش مابغيتيش ت تقلق عليه و أنا ديما مقلّق عليا,why you don't want to worry about him and I'm always worried about me
فين غادي تسكن,you will live
آش كادير ليك؟,what's yours?
أنا غادي ن تناقش معا الأستاد حيت ديما دالمني,i will discuss with the master
شكران أنك سمعتي ليا مرة وحدة!,Thank you for listening to me once!
تانفكّر واش بلوكاني,I think about my clothes
هادي فكرة مزيانة,this is a good idea
كون غير علمتيني بكري,if only you taught me early
نسيت الكود بوك ديلو,i forgot the book
الجليد داب دخيا معا شمش,the ice is dry with the sun
زيد غير شي 30 وحدة بلا ماتكون طويلة,just add 30 units without being long
مانضنش غادي نقل من هاد النهار,i dont think i will be moved from this day
وريه وإيلا عما سير وخليه,show him what to do
آرك الحفادة,the granddaughter
ماتقاطعنيش,don't interrupt me
كون غير قدرت ن تفاوض معاه على التمان,if only I could negotiate with him
الفقيه دحمان قرا برا سبعيام وقاليهم العط عيان,"the rest of them went to bed for a few days and they said,"
اليوم الغدا على حسابي,tomorrow is on me
قلت بلي شي واحد متلعها عليا,I told you to do one thing
تعطلي بزّاف باش تبدل لخدمة,you are too late to change for work
أنا تسيزيت,i'm irsisted
صدق القبر كبير تبركلها و زوين,believe the grave is big
هادشي كوميك,that's what you're talking about
واش نسالفك,dont hurt you
جي في وقيت للدا,i'm waiting for you
كيشرح ليا كيفاش ندير سحاب,to explain how I can do a cloud
ماعنديش القدرة نتحكم فيهادشي,I don't have the power to control it
حسيت بيك بعيدا عليا,i felt you away
ياك درنا أنمشيو للمطعم,i will go to the restaurant
ياك قلتي طبيب قاليك ماعندك والو,you said the doctor told you what you have
واش مردة؟,what's wrong?
مابقيتش باغي نطريني صافي عيت,i will not wait
برينا نعتدرو على تاخير,we need to be late
مافهمتش فهموني,i don't understand
أنا منهار دزاديت ماعمري ماتيهط تا ڭرام,"i'm broken, i don't get old"
كولشي على حسابهم,it's on them
كانتسنّا فيك ت تعكّس ليك هاد لخدمة,I'm waiting for you to give you this service
ماخدامش ليا باقي لاكرت,i dont care
مكاينش هنا,he is not here
جمعي راسك و ديري مستقبلك برا,gather your mind and show your future to yourself
طبعو خراج عندي,I'm going out with you
فين غدا نتيا؟,where are you going tomorrow?
سامتي الباراه؟,do you want to go to school?
أنا غان مشي عن خلتي,I'm gonna go about you
شربت جوب إترو ديال الماء,i drank the cup of water
دارليا كولشي فدار,he didn't say anything
بنادم كيفهم ليبغا,how do they want to do it
أنا خذتها من عندي واحد البنت,i took it from i have a girl
علاش كاتغوت؟,Why did you want to do it?
يمكن ليك تصايبي بحالها؟,can you fix me like this?
آه، العموم ممنوع هنا,"Uh, it's generally forbidden here"
شكرت العروسة مها و الحزارة ديال خلتها,I thank the bride and the wife
أنا هنا باش نشوفك حيت ماكانفهمش أش كايوقع ليا,I'm here to see you when I don't understand what happened to me
علاش مابغيتيش تخسّ ليا شي وقيتا راني عزيز زعمة,Why don't you want to lose me a lot
مانضنش غادي يستلزم هادشي هاد الجهد كامل,i dont think i will take this effort
كاينين جوج أنواع,there are different kinds
ديك ساعة وليت سفر,That's an hour and I have to go
هاد الهقد ديالك مابغاش يسالي,i will not ask you
خليني نقابلو,Let me meet him
عندي مشاكل فالخدمة,i have problems with work
نتحداك ت علّمو كيفاش يقرا,I dare you to teach how to read
ماعرفتش,i don't know
وعاود مشيت عند عكوزتي,I went back to my nut
كانو باقين سحر كان ضربهم,"They were still charming, he beat them"
خفت غير يموت فو هاد الأيام,i'm afraid he will die these days
هتيت واحد ستوري فالفايس,i've got one in the house
عرفت بزاف ديال الحوايج لي تعلمت منهوم,I've learned a lot of things I've learned from them
ملي مات مرتو مابقاش كايجي لمعمل بزاف,they didn't come to a lab too much
أنا غير كنت كانتمشى,i'm not gonna go for a walk
عطيني ڭارو,give me the money
غا سير دفن راسك,he will bury your head
راه أصلا كولشي باين,it's a good thing
علاش مابغيتيش ت مدّد لعطلة ديالك,Why don't you want to extend your vacation
التوموبيلات كتر,The tombets are too much
إوا,hey
ماكايقتل غير لعمر,he only kills a lifetime
كنتمنى تكون باقية بلاصة للديسير مورا هادشي,i hope it's left in this place
شنو اللي وقع؟,what happened?
كيفش كيجيك تقادا وحدة,how come you're lonely
كانتسنّا فيك ت تلاق ديك دار را بغيت نكريها,i'm waiting for you to meet this house
رانا تفاهمت معاه صافي,i made a clear understanding with him
امتا كيمشي التران المدينة؟,when are you going to see the city?
كاملين ودارتو فيهم,they are perfect and they are full
تعطلي بزّاف باش تقابل محالك,you are too late to meet your sister
أنا كايعجبني البحر.,I like the sea.
بغيت نقش معاك شي حاجة,i want to discuss something with you
إيلا عجبتك شي حاجة تما خوديها,"if you like something, take it"
أنا ماعرفتش شنو كاتوقع منني,I don't know what you're expecting from me
مانضنش غادي يكو يخوي داك الموعد,I dont think he'll make that appointment
عمرك جربتي تصابق معايا,Have you tried to stick with me
تانفكّر واش نقدر نكمل ف لوقت,I'm thinking if we can go on time
بقينا كانتسناو الحسم يخليت,we kept waiting for the vote
لوبنا دوزات زبالة طولقت كاتوريني كيفاش نشعلو ونشارجيه ونصيفت الإيمايلات,i thought that we should be in a lot of trouble
واش نتا حماقيتي ولا مالك,are you stupid or your money
كانعيش في الأرجنتين,i live in Argentina
كانتسنّا فيك ت الدعيف راسّك,I'm waiting for you to hold your head
كانسوني عليك ماكاتجوبيش,I'm forgetting about you
الزرافة ماكاتقدرش طعوم,the giraffe can't eat
هنا فين وصلت,where did you arrive
ماجاوك الأساتذة اليوم,The teachers didn't come to you today
أنا بنادم لي طالع لي ف راسّي,i'm waiting for me in my head
متشرفين,I'm honored
تشهيت الخبز سخون,I've been looking for warm bread
كون غير قدرت ن إمبريمي دوك لوراقي كاملين,if only I could fix my papers
ملي كنت صغير وأنا عزيز عليا المطحس,i'm young and I'm poor
أنمشي نتريني ف الصالة,i'm going to see you in the lounge
"سلام, لقيتيني كانڭول معا راسّي, مدّا هادي ماخرجنا ل شي ريسطورة مزيانا","hey, you found me in my head, how much we didn't go to a better place"
عطيني نص كيلو ديال اللوز,give me half a kilo of almonds
مانبغيكس لي يخسر ليها الخاطر,I don't want you to lose it
ڭاع حسّن فين بان ليك نمشيو,i feel better that you should go
المهم نقدر نڭوليك أنّه مايمكنش نخدم هنا واخا ماعارفت أش,the point is we can't work here and I don't know what to do
أشمن نوع ديال الآلة لي كنتي كتفكر فيها؟,what kind of machine did you think of?
راني كنت شكرت ليه,i was thanking him
واش ماعندكش تكاشت,what do you have
كاتوقع را كامديها فگلبك صعيب تلقاي ليتيقا وتجيبليك داكاشي لي شاطي,i expect you to help her
كان كيسحاب ليا غادي يسيد شي حوتة,i thought that he will take care of his wife
راه متابق مع ديم ديالو,he's still waiting for him
واش ناكلو جاني جوع,I'm hungry
ماتنساش تعيط الماماك,dont forget to give the machete
غدي نتواصل معاهوم دابا.,tomorrow we will contact them very soon.
عمو هانية سلمات,he said hello
ماحبيتهاش كاتبقى مزيتة ف الوجه,I don't like it if it stays in the face
ميّك,"Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey!"
راه فالأخر ديال شهر غادي نتخلس,the last month I'm gonna sneeze
خلتي ماعاديكس تجي أولا؟,Did you think you wouldn't come first?
كايسمع الموسيقى,he listens to music
امتا تبعت هتيت فيها 20ده,when did you go to her in 20
واش كايحضر بزّاف,he's too good to come
لا ماكانتفلش,"No, I wasn't."
راجع القرار ديالك,review your decision
خاصني شي نس ساعة ديال المجانا,i need something to forget the next hour
غدا نترينو سبوه,tomorrow we see him
مانضنش غادي ندوي معاك بطريقة عايبة,i don't think i'm gonna want you in a bad way
اغنية قرا كبيرة,a big song
خليني نستوعب شنو ڭال,let me understand what the hell is going on
طلبتي مني نحدرهم,you asked me to fix them
كيفاش هتا تعرفتي عليه,how did you know him
بغيت نلعب,I want to play
بدا كايسخن ترح,It's too hot to leave
علاش مابغيتيش ترتبت ياكما مركز دابا غير على قرايتك,Why don't you want to put your head down
شوف راه درتها ف الطلجة,see what you saw in the shirt
وايلي?,What's wrong with me?
هاد المحل حسّن,this shop is better
حتى أنا كانتريني هنا,I'm waiting for you to see me here
واش نقدر نعاونك في شي حاجة,Can we help you with something
كوماندت واحد نص نص,i thought I'd do a half
إيلا مرتك ما ولداتش ليك دكشي لي باغي خايبقا فيك الحال والعمومها,if only you wouldn't like to talk to me
إمتا غادي ت جمع حوايجك باش نسافرو لبرّا,"if you will collect your clothes, we will travel to land"
دار لوراق في البيرو,there are papers in Peru
موحال واش دخل من داك الباب,he went through that door
عزيز عليك تقمّر و تشرب بزّاف,you should drink too much
بلا ما تبدا تسيتا علينا.,she didn't start talking to us.
نشط أصاحبي ماتبقاش غير مكتاءب,I work with my friend you are not depressed
مابقيتش باغي نحفّزك حيت دكشي ماخنفعش معاك,i won't want to give you anything to talk to you
عندي شوية,I have a bite
فشكل,it's in the form
ڭلتو ليك بيني وبينك,you and i are just between you and me
ناس كاتستمتع,people are having fun
أنا مهتم بالتاريخ,I'm interested in history
ورقة جاتك من البنكة,you came from the bank
والنتيجة هي 30 نقطة,the result is 30 points
خرجي أش كاتسناي,get out of here
خنو ديرين في عشا,i went to dinner
أنا كنتسنا نسمع خبر ديال رحلة ديالو لفرنسا,i've been listening to the news of France's trip
كاينة الخضرا و اللحم هتا الحوايج,there's green meat and meat
غير أنا وراسي,only me and my boss
علاش مابغيتيش تدرب معايا,why don't you want to train with me
بالما تجي عندي,when you come to me
بعض المرات ماكانعرفش اش نكتب,Sometimes i don't know what to write
أول واحد كايجي مع المزمار غادي نصيفتوه مباشرة لسكوتلاندا,the first one with the bleacher is gonna make it straight to Scotland
لمصلحتي؟,for my sake?
تاهوا كانّ غليظ و مفورمي,i thought it was hard
واش مسالي هاد الليلة؟,are you having fun tonight?
بغيت نكري واحد المحل,I want to buy a shop
مكاينش بحال هادشي عندنا,he is not like this
كايني جلب والغناذ,i will bring food
راه أقصى مايوقع تمشي دير عملية,it's too late to go to work
"تصنّت, كاتسمع هاد صداع?",do you listen to this headache?
عمرك ت سي5 شي جملة مفيدة,you're old enough to be useful
خاصك تكون واعي,you are conscious
تانفكّر واش نتسوّر .,I'm thinking what to do.
شوية أنجي,somethin' I can do
كيف داير?,how do you do it?
العيشة ديال زوافرية,living is a good thing
هادي طناش قلل قسم,"I'm sorry, I'm not interrupting the department."
هي أنا شراني كاملة,I'm full of it
شحال من مرة كنسمع الغوايات,I've never heard of stuff
وايلي هشوما تعدبوه,why are you playing with him
مانضنش غادي يمتل هاداك دور مسيان,I don't think he's gonna be a good guy
مانضنش غادي نجلب هاد اللعاب,i dont think i will bring this saliva
تلقيها تصريح,she has a permit
راه تقا غير فالعائلة,it's just family
تانفكّر واش هاد لقرار صحيح,I think that's the right decision
دخلت الأكاديمية وأنا صغير باش نتعلم كورا,I went to the academy when I was a kid
عادي تباتي عند خلتي,you shouldn't have stayed at my place
كون راجل و ماتخليش كلمتك تنزل للارض,be a man and don't let your word go down
قول بسم الله,say the name of God
عندي شي حاجة غانديباني بيها,i have something i need
علاش مابغيتيش تشد فيا,Why don't you want to screw me
إوا هاكا ديرا الحياة,this is a life
واش كيعجبوك الحيوانات,do you like animals
أنا وياك خسنا ندويو,you and I have done well
ماكنتش كانّمّم,i didn't know
ملي سمعت القصة من لول عيطات الواليد,i heard the story from my father
نشطّ مزيان,I'm a good guy
راه لاصق فيك نهار تخسر فلوسك يبعد منك,he stuck in you the day you lost your money
"كيداز نهارك, حبيبي?","how's your day, darling?"
خاصني شي كرسي موريح,I need a nice chair
كاين شي هوايج صعيب يتنساو,there's a lot of work to be done
خاصو يوجدلك كولشي ف الوقت,i need you in time
خود هاد 10 دراهم,take this 10 drums
عمرك جربتي تقاد شي ثمن واعر فشي بيسة فالأخرى داها ليك واحد,Have you tried to pay a price
دير براسك ماسمعتي والو,you didn't hear anything
كايتباعو بعده,he sells after him
من غير هادشي، داز نهار مزيان,"Without this, it's a good day"
البوليس شدو واحد القتل مسفيها لعرام ديال ناس,the cops pulled one murder for the love of people
واخا هكاك، كانشكك أن الصقور كيعجبوهم الفكارن,"And there you are, I doubt the hawks will like them karan"
ڭوليا فين نلقاوها دابا,let's meet her now
تاها مابقات كيفما اللول,she will not be late
قوليهم نمشي نقدي عرض,tell them to go on a show
خسّنا نتفارقو,we're leaving
نتحداك تخدّم شي ناسّ مقّولين مايشفروكش,I dare you to do something
طاح من دوزيم وماترا ليه والو,he went from the rest of his life
مولدار,Muldar
وافيين أعشيري,i will do my homework
مرحبا بسلامك,welcome
واش تخرج معانا اليوم؟,do you want to go out with us today?
كان مقلق و وجهو سفر,It was disturbing and traveling
بنتي مابغاتش تشوف فيا,you don't want to see me
إوا مخيتي ولا باقي,if only my sister or the rest
بهالك لي خارجو على المغربية,that is for me to go out to Morocco
مشا البحر,he went to the sea
فيا أختي الموت دجوع,my sister is hungry
ماجا هاد عندنا,we have this
ياله باش نمشي معاك,what do I do with you
بقينا بلا عشا اليوم بسبابك أصاحبك,we stayed without dinner today because of you
سلم فين مخيتي سبح,where is my brain?
خليني نتلب كريدي,let me fix my clothes
فين غادي؟,where will he be?
خاصك تكون ديبلوماسي,you need to be a diplomat
فين هوما سوارت ديال توموبيل ديالي,where are my tombls
شحال بسلا,it's too late
كان كيسحاب ليا غادي يخبي فلوسو مسيان,i thought that he will hide his money
"الماكلة إقدر تكون عندها أتر كبير على كيفاش كاتحسّ, فراسك.","The food can be a lot bigger than how you feel, huh?"
كل واحد يدير لي مسلكو,everyone is running a course
سمح ليا قطعتك,let me cut you
قالو ليها حملة ب ولد,they told her to raise a boy
شنو هوما؟,What is it?
البارك أحسن بلاصة,the park is better
مابغيتيش ت فضّل شي ولد عندك على لاحور,You don't want to prefer something your son is born
واش كادن كلبك غادي يبغي فطيرة ديال دجاج؟,Is your dog gonna want a chicken pie?
المكتبة كانت عامرة برحت الكتوب,the library was full
عطيناك الوقت,we gave you time
نتحداك تعيط ليه راه شمكار,I dare you to give him a drink
غيسالي العرس في الصباح بكري,my wedding is early in the morning
خراج لي شي عقلب باكس نخربهم,take out something that will ruin them
واش لاباس عليكم,it's okay
كايوجدو الواحد عمل خايري,they find the one a good job
آه، بتعريف,"ah, by definition"
بصحتك وراهتك,Cheers! I saw you!
وره وقتو هادي أشغديرو,it's time I'm happy
هزيها غير ب شوية عليك,shake it just a little bit
ماعمرك مجربتي شي تخليطة ديال ماكلة و سدقات نادية ?,how long have you tried to mix up food and gym sauce?
ماغاديش دوزها ليك,I don't wanna do it for you
كنت عارف هاد نهار غادي يجي,i know this day will come
خطيبت عيمي كانت زوينة و درايفة,my uncle's fiancé was very nice
سير المارشي تقدا,go to school
شفتي كيفاش كادوي معايا,you saw how he came with me
راه قليل هادشي لي تيبتي ماقدناش,this is a little bit too late for me
إوا هادي هيا المناسبة,this is the occasion
أش كاتخرج?,what did you graduate from?
البشر هاكا داير,the humans are like this
بلا ما تحبس عليه المسروف.,Don't lock up in the car.
تعطلي بزّاف باش بلوخيوم,you are too late
عاويدي شوفي طبيب,i need to see a doctor
سمعتي شنو ڭاتليك,you heard what i told you
لمهم كون خير,It's important to be good
ماقدرتش نهز القفة,I can't shake the coffin
راه هادشي لي شريت دهب,that's why I bought the gold
الحريص دار دكشي لي عليه حبس ڭاع لكوري,I'm waiting for him to lock me up
ماشي دروك,what do you think you're doing
يدي رطبين,my hands are wet
بغات تلعب ليك على نفسية,she wants to play for you
أنا مابقيتش قادرة,i can't
لوقت صعيبة,for a hard time
خليني ندارب معاه,let me coach him
واش غاتسافري ولا لا؟,are you going to travel or not?
عفك اللهان والكلمات ديلو الله يعطيك الخير,may God help you
كايتخايل شي حوايج لي يقدرو يكونو واقعو لعصابة ديال تحريب حقيقية,I'm thinking of what I need to do if they're falling for a real gang
وجيب لنا شي ليترو,and bring us something
حسن نبقاو هنا مرتاهين,we stay here for a while
عطاني قرعة بزربة,he gave me a ring
كان كيسحاب ليا غادي نوحدو العملة فأسيا,i thought that we'd settle the coin
واش غادي تقري سبت,will you call Saturday
مالك علاش كاتغوت,what did you want
هوما كايديرو الشهر,he didn't make the month
كنمشي كولا حد لسوق ديال الجملة باش نشري سلعة و نعاود فيها البيع,I'm gonna go to the wholesale shop and buy a commodity and sell it again
أش كاتعاودي في وسلتي,what are you doing in my basket
واش تعرفتي على خويا؟,did you recognize my brother?
نتا أحسن واحد عندي فهاد الدنيا,you are the best person in the world
كايبان ليا نمشي نعيط ليه دابا و نبدا نزرع ليه هاد لفكرة ف راسو,i'm going to give him a car and I'm starting to plant an idea for him
لا، بغيت نمشي لأمريكا الجنوبية وبالخصوص البرازيل,"No, I want to go to South America, especially Brazil."
راه تفاعل ديال لجمهور عيان,there is a reaction to the eye audience
راعيو لدوك الدراري الصغار,you should take care of your children
يالاه نمشيو نشوفو أش كاين,let's go see what's going on
مابقات سالحة الوالو,it's too late
تعطلي بزّاف باش تواجهو,you are too late to face
خليت دراري بوحدهوم,i left them alone
كانضن بلي نتا عدواني بزاف.,I think you're too aggressive.
نتحداكوم توّقو هاد لبلاصة را تاواحد مايديها فيكوم,I dare you to wait for this place
لا تبارك الله متوين مزيان,don't bless god
هادي مابقا غاد عليها هد,she will not stay with her
را هدكو لي عدي يدير,i will do it
الهدرة ديالك جرحاتني,you hurt me
كليت ليمون,i ate lemons
ماتبقاش تبكي وتاكسكي,don't cry
كانتسنّا فيك ت زلق عليا,I'm waiting for you to slip on me
عمرك ت بوزا على شي واحد را أخايبقاو عندو تصاورك,you shouldn't forget about someone who stayed in your sights
عمرك تفرغ شي نفاقة باش تخلع,you should never unload
ماكانشربش الشراب,i didn't drink a drink
مايمكنش,i can't
ماعمرك ماجربتي لاساڭن أخير بالخضرا,Have you never tried to last in the green
آش بان ليك؟,what did you do?
مشيت لسوق,i went to market
خرج من الهبس وقتلو شي واحد,he got out of the park and killed one thing
بغيت نكتشف التقافة الهندية,I want to find out about the Indian
لا أخويا والو باس,No brother is okay
صافي هبس عليا هادشي,this is pure
القراية كاتكبرك,The reading is too big for you
نتي لي قلقتيها,you worried her
كايبلانيو بيناتهوم,we're waiting for them
مانضنش غادي يتدهر بشي حاجة عايبة,I don't think he's going to do anything wrong
تعطلي بزّاف باش تبّت راسك,you are too late
كون غير قدرت ن عدل مابيناتكوم,if only i could make a difference
نتا أ داك بوراسّ جمع راسك,you dont want to get your head together
بغيت نشرب كاس ديال الأتاي,I want to drink a cup of tea
سولوني عودت ليهم بلي دو تقتع,I'm sorry I got back to them
كاين شي واحد هنا كيهدر بالانجليزية؟,Where's the one here to talk about English?
كون غير قدرت ن تقدّا من داك لمارشي,if only I could make it from this place
أمدرا كملتي,you can finish
ديها ف سوق راسك,its in the market of your head
وقت النعاس,Sleepy time
دابا نوريك شنو شريت,i will show you what i bought
كل واحد وهم,everyone is an illusion
تانفكّر واش ندعم هاد لمبادرة,I'm thinking if we support this initiative
عندي شوية ديال البسكويت ف الصاك ديالي,I have some cookies in my shop
بلا ماتسلف من عندو,Don't take it from him
تاه من جبل,he is from the mountain
فيتا خدمة في شي بلاصة,I'm working at some place
نتا هنا باش تخدم,you are here to work
دور ليا.,turn to me.
أنا جايا من الخدمة,I'm coming from work
لابسة كسوة زرقة,He's wearing a blue dress
مابغيتيش ت ختارق داك سيت,You don't wanna choke on that sitter
واخا كنسمع بلي الخبز مازوينش للبط,i'm listening to bread
اليوم عندي رانديفو مع طبيبة,today I have a doctor
صافي قديت ليك الغرض,i brought you the purpose
واش تخليتي,did you leave
ماتبقاش تحتيو عليه,you don't have it
لويكاند,i need to talk to him
كايعاودو كوزينتهم,they went back to their room
شحال هادي و أنا باغا ندير إيكوميرس و لكن را فيا العز بزّاف,how much is it that I'm going to do business
ماغانتعاتلوش,you don't want to talk
ملي تكون واجد عيطو عليا,what are you doing?
صافي تهنيتي,you are purely self-inflicted
كنتمنى يعاون!,i hope they will help!
أندي هاد القميجة تسلح,this shirt is armed
الخضرا هي لي كاينة,the vegetables are mine
لي بخا يحسر باه و جدو يقلي للعدم بوحدو,i will feel better and feel better if i'm alone
سير توّع و تبرع بدمك,go and give your blood
أنا غادي ندوي معاك على هاد الموضوع,i will join you on this subject
توحشت الأيام ليام لي كان همي هو نكمل التمارين فوقتهم,I'm afraid of the days when I'm worried that I will finish my workout
عمرك ماعاودتي ليا عليه,you didn't bring him back
أنا محامي,i'm a lawyer
خاصنا نعرفو اشنو غادي نديرو.,We need to know what to do.
عالأقل شي حد لي غادي يجهزنا,at least something will prepare us
داك شكلاط غزال,That's the dress of the deer
مامشيتي حتى درتيها,you didn't go to her
شحال كايتسالك؟,how is she asking you?
تفرقات ليا روايدة,you split me up
أكسنو كنقرا,I'm reading
غير القدرة معاك تقدر تشريحا ليا,if only I could have an anatomy
إن خضر كايبيع الخضرا زوينة,it's a good vegetarian
ماكنتش عارف بلي هادشي لي درت غا يقلب ليا حياتي سفاهة على علاها,I didn't know what to do with it
حوايجي كولهم تقتعو,my clothes are broken
تاحد ماغايقبل اليك فهاد الحالة,i will not accept you this situation
إمتا غادي ت سوخ شي جوملا موفيدا بهاد لوخا,When are you gonna do a nice job
نتا واحد ما معاك هادرا,you are not with you
مادزيدش فيه,I don't think about it
ماكاندخل أنا لشي فاص أنا كانشوف غالكاتحات هنا فلوتسب,I didn't go in there
غاندوش,he's gonna do it
كانهس بيك,I'm talking to you
شناهوا الطلب لاخور?,what do you want to do?
مشات تقرا,don't you read
ماتبقاش تعصب على والو,Don't be nervous
و لكن فلّيل غايكبر.,But he's growing up.
دينا غير على حدارتك,we have nothing to do with you
راك تقب الورقة مع كلشي,i will take the paper with everything
كري دارك تانيا و بقا ڭالّس لفلوسّ كيجيو ثال عندك,you need to wait for your money
واحد طلب عفاك,i asked for your forgiveness
كانت كاتشرب واحد دوا,she always drinks one
هادوك ديالك نتا,this is yours
سمعت الواليد كايعيط عليا,i heard the boy give me
نسيت ماخلّصتش لويفي,i forgot to save my money
غدا العطلة,tomorrow is the holiday
قطّع ماطيشة,he's a jerk
حبّ و تبن,love is built
وا داخلو الفرحة على قلوبهم عند المديرة,they bring joy to the boss
"إوا.... صباح الخير, دكتور.","Good morning, Doctor."
لقيت واحد الكسيوة زوينة على قلب هاد المناسبة,i found a nice dress on the heart of this occasion
كان كيسحاب ليا غادي نتكلما دخيا,i thought that he will talk
وخليتو ف سوق,i left in the market
أنا غادي نرافقك للبارك,i will take you to the park
و المشكلة كينزلو قطرات تاع خطا,And the problem is they dropped the wrong drops
ولتع ليا دكسي فراسي,I'm looking for my clothes
بلا ما تمشي ل شي بلاد أخرا,Don't go to another country
نسيت كتاب زوين.,I forgot the book of the dresser.
غادي نتمشاو المدة ساعة و نص و من بعد ماغاديش يبقى لينا حتى وقت باش نرجعو ل البيسين.,We will go for an hour and a half and we won't have time to go back to the peseeseine.
بنادم ماكيهمس,he didn't whisper
نقدر نمشي لحمّام ?,Can I go to the bathroom?
راني تالفا ف هاد البلاد,I'm late in this country
علاش مابغيتيش تبلوكي صاحبك واحا شبعك معهور,Why don't you want to make your friend sick
صباح، مع التمنية و 5امسة وربعين,"Morning, with the wish and five and a quarter"
سيري كملي على خدمتك,go ahead and do your job
إذن أنا هو لي كايعطي النصائح.,So I'm giving advice.
"شي شهورا هادو, بعض لمرّات كانحسّ بحال ألا كانسمع شي صوت كايهضر فوسط راسي","It's been months now, a few times I feel like I'm not hearing a sound in the middle of my head"
الحياة هادية من عند الله,life is good from God
حلست فيها هاد المرة,i've felt it this time
ماكانش خاصني نعطيهوم الفلوس,I dont need to give them money
حبيت شرحولو,i liked to pray
على كتسولو عليها,I need to ask for it
هاد الصيا قصيرة,this dish is short
بغيت غير نعرف شنو كاين تما,I just want to know what it's like
دابا وليتي كاتكحب كلشي ولا أيف,you love everything and you don't love everything
ماغاديش يمشي لحتّا بلاصة,he won't go to the place
كاين فطابق سفلي,it's downstairs
"عيد ميلادي ليوم, والاكين كانضن غدي يكون بزاف ديال بنادم ف عطلة ديال نهاية الأسبوع","my birthday is a day, and I think tomorrow will be a lot of nights on weekends"
ممكن غدا غادي تكون عندي شوية ديال الشجاعة باش نتسلق معاك الصخور,Maybe tomorrow I'll have some guts to climb with you rocks
كان كيسحاب ليا غادي يحسّن من الجودة ديال جبن ديالو,i thought i'd improve the quality of cheese
وزت تقريبا نهار كامل كانكتب شي حاجة كانت بغيت نخدم عليها,I've had a whole day to write something I wanted to work for
صحة,health
تعقل على الجيلالي?,do you think of the gelato?
سفق,it's too late
صافي بقيتي على خطرك؟,You kept yourself safe?
مابغاتش دزواج,she doesn't want to get married
كايتسابقو بالبيكالات,they race for mics
اشنو كضن مناش خايف؟,What do you think is scary?
ماعندك ماتشرح ليا,You don't have to explain to me
مالك كداور فينيك,your money is good for you
راه كانعطيوكو فهاد الفتور حيت ديما كتجيو عصير ديال ليمون كادو,I've been giving you so long I've always come for lemon juice
عمرك جربتي تسويب بوحدك سيتة المحل ديالك,Have you tried working alone in your shop
مابغيتيش تدفي علينا,You don't want to talk to us
برڭاڭ كايواصل لهادرا,we are going to talk about this
عندي مكنسة كهربائية كتخدم هاد التقنية باش تنقي الدار!,I have a vacuum cleaner to use this technology to save the house!
كانلبس البانطوفة ف الدار,i'm wearing the tannel in the house
باقي خاصني نغسل سناني و ندوش,i need to wash my teeth
هوا ناعس,he's sleepy
أش هاد السؤال؟,What is this question?
من بعد إمكن لينا نحاولو نطلبو المساعدة ب نقادو على ديال موسيقى.,After we can try and ask for help with music.
قداو ليا بيرمي حيت درت مخلفة وماخلستش,he came to me
ولكن راجل تاهوا مصبرش,but the guy got lost
